Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0hCB0YR03f6AmQaHbwWDe8,"Whole Lotta Love - 1990 Remaster","Led Zeppelin II (1994 Remaster)","Led Zeppelin",1969-10-22,333893,78,false,,2026-02-20T05:00:51Z,"classic rock,rock,hard rock,rock and roll","Rhino Atlantic",0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,4
spotify:track:3lPr8ghNDBLc2uZovNyLs9,"Supermassive Black Hole","Black Holes and Revelations","Muse",2006-06-28,212439,84,false,,2026-02-20T05:00:51Z,"alternative rock,rock","Warner Records",0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120,4
spotify:track:0u6JFVn0KHHlidZxNL9gVE,"La Grange (2005 Remaster)","Tres Hombres (Expanded 2006 Remaster)","ZZ Top",1973-07-26,230480,80,false,,2026-02-20T05:00:51Z,"southern rock,classic rock,blues rock,rock","BMG Rights Management (US) LLC",0.509,0.641,4,-9.936,0,0.264,0.00249,0.0304,0.196,0.612,161.74,4
spotify:track:6gXrEUzibufX9xYPk3HD5p,"Life in the Fast Lane - 2013 Remaster","Hotel California (2013 Remaster)","Eagles",1976-12-08,286219,73,false,,2026-02-20T05:00:51Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.667,0.755,9,-7.246,1,0.069,0.0966,0.0000694,0.0523,0.883,109.535,4
spotify:track:6yl8Es1tCYD9WdSkeVLFw4,"You Shook Me All Night Long","Who Made Who","AC/DC",1986-05-24,211206,68,false,,2026-02-20T05:00:51Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.529,0.768,7,-5.51,1,0.0566,0.00224,0.00075,0.297,0.769,127.316,4
spotify:track:5viUoBe9m6FHt6v5UJvISA,"Keeper","Hear Me Out","Reignwolf",2019-03-01,186992,56,false,,2026-02-20T05:00:51Z,"blues rock","Reignwolf",0.372,0.84,8,-7.236,1,0.124,0.0469,0.00000627,0.152,0.231,133.948,4
spotify:track:6nmK3NF1rek4lCTpRoH6DO,"Take It From The Top","A Million Knives","The Velveteers",2025-02-14,232041,46,false,,2026-02-20T05:00:51Z,"","Easy Eye Sound",0.638,0.744,5,-4.857,0,0.0456,0.00629,0.00000256,0.0366,0.593,120.962,4
spotify:track:0Bm4fjn2AeXeA1x12hoySt,"Entrance Song","Phosphene Dream","The Black Angels",2010-09-14,218560,49,false,,2026-02-20T05:00:51Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Black Angels Records",0.303,0.791,0,-5.213,1,0.0426,0.000333,0.381,0.34,0.151,113.209,4
spotify:track:4BP3uh0hFLFRb5cjsgLqDh,"Fortunate Son","Willy And The Poor Boys (Expanded Edition)","Creedence Clearwater Revival",1969-11-02,140773,85,false,,2026-02-20T05:00:51Z,"classic rock,southern rock,country rock","Craft Recordings",0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
spotify:track:3tNMdL4qjzNHfo7rlVMESK,"HONEY (ARE U COMING?)","HONEY (ARE U COMING?)","Måneskin",2023-09-01,167276,60,false,,2026-02-20T05:00:51Z,"","Epic",0.476,0.94,7,-2.349,0,0.0806,0.00196,0.00000145,0.141,0.372,139.987,4
spotify:track:383QXk8nb2YrARMUwDdjQS,"Psycho","Drones","Muse",2015-06-04,316717,70,true,,2026-02-20T05:00:51Z,"alternative rock,rock","Warner Records",0.555,0.883,2,-3.426,1,0.0341,0.00114,0.041,0.868,0.507,125.02,4
spotify:track:3xbZa70HOBQpGQcaR3HqW1,"Song Of The Future","Days Of Ash EP","U2",2026-02-18,235413,63,false,,2026-02-20T05:00:51Z,"rock","Universal-Island Records Ltd.",0.652,0.777,9,-7.671,0,0.0327,0.0272,0.000365,0.0844,0.941,124.957,4
spotify:track:3W6bchE2NDsXdyfbhkHjjB,"I Can't Hear You","Sea of Cowards","The Dead Weather",2010-05-11,215093,51,false,,2026-02-20T05:00:51Z,"garage rock,southern gothic,blues rock,modern blues","Legacy Recordings",0.529,0.754,0,-3.167,0,0.182,0.0482,0.00592,0.108,0.422,79.462,4
spotify:track:7IK9YaeFV0wEZmtDl9B2XK,"Love Is All You Love","Love Is All You Love","Band Of Skulls",2019-04-12,202813,43,false,,2026-02-20T05:00:51Z,"garage rock","So Recordings",0.51,0.697,4,-6.257,1,0.0278,0.000109,0.000104,0.0677,0.832,79.994,4
spotify:track:2JhJOPGvtqMpj5RQC8cIYf,"Perfect Strangers","Perfect Strangers","Deep Purple",1984-09-16,328426,68,false,,2026-02-20T05:00:51Z,"hard rock,classic rock,rock","Island Def Jam",0.521,0.721,2,-7.699,1,0.0254,0.00348,0.0113,0.391,0.611,97.578,4
spotify:track:0gucTLf7trAf37Ua1uAyAu,"Smells Like Teen Spirit - Remastered","Nevermind (30th Anniversary Super Deluxe)","Nirvana",1991-09-24,300893,59,false,,2026-02-20T05:00:51Z,"grunge,rock","Geffen",0.489,0.918,1,-4.502,1,0.0554,0.0000353,0.0000764,0.0908,0.691,116.731,4
spotify:track:2ZSOU8Fx9uRBW57nwfPVAL,"Your Favorite Toy","Your Favorite Toy","Foo Fighters",2026-02-19,176453,64,false,,2026-02-20T05:00:51Z,"rock,post-grunge,alternative rock,grunge","RCA Records Label",0.3,0.92,11,-2.216,1,0.0688,0.0000088,0.000003,0.196,0.241,146.803,4
spotify:track:4VqPOruhp5EdPBeR92t6lQ,"Uprising","The Resistance","Muse",2009-09-10,304840,80,false,,2026-02-20T05:00:51Z,"alternative rock,rock","Warner Records",0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,4
spotify:track:0Tr5G2mE56eLUGvCaXRM8I,"No Good","A/B","KALEO",2016-06-10,234240,70,false,,2026-02-20T05:00:51Z,"","Elektra (NEK)",0.378,0.925,9,-3.781,1,0.185,0.0234,0.00062,0.18,0.584,108.525,4
spotify:track:7JdNPgckT1uePqebdWNtpH,"Currency","Death Song","The Black Angels",2017-04-21,316533,40,false,,2026-02-20T05:00:51Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Partisan Records",0.447,0.849,5,-5.351,1,0.0473,0.00113,0.0535,0.104,0.144,146.028,4
spotify:track:5AEOqLsRJFAoSS4ay4Jzao,"Come As You Are - Remastered","Nevermind (30th Anniversary Super Deluxe)","Nirvana",1991-09-24,218920,57,false,,2026-02-20T05:00:51Z,"grunge,rock","Geffen",0.509,0.874,4,-4.7,0,0.0396,0.000229,0.00638,0.0988,0.406,120.082,4
spotify:track:3dPQuX8Gs42Y7b454ybpMR,"Seven Nation Army","Elephant","The White Stripes",2003-04-01,232106,86,false,,2026-02-20T05:00:51Z,"garage rock,blues rock,rock,alternative rock","Legacy Recordings",0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4
spotify:track:20I8RduZC2PWMWTDCZuuAN,"Take Me Out","Franz Ferdinand","Franz Ferdinand",2004-02-16,237026,86,false,,2026-02-20T05:00:51Z,"indie rock","Domino Recording Co",0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,4
spotify:track:46QazXxQS0B31CnbRCy8CV,"Rock You Like a Hurricane - 2011","Comeblack","Scorpions",2011-11-07,255573,66,false,,2026-02-20T05:00:51Z,"hard rock,glam metal,rock","Legacy Recordings",0.587,0.891,11,-3.381,1,0.0361,0.000261,0.00454,0.314,0.705,124.005,4
spotify:track:4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2","The Wall","Pink Floyd",1979-11-30,238946,84,false,,2026-02-20T05:00:51Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,4
