Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:73pJ9jnsBhDIyXrIxlBKyZ,"Earthstar","Earthstar Mountain","Hannah Cohen",2025-03-28,243455,56,false,,2025-09-22T18:29:37Z,"","Bella Union",0.513,0.728,1,-8.563,0,0.0397,0.304,0.283,0.0786,0.479,152.006,4
spotify:track:2eB1y6ULbfRzg55P2y5MFA,"Better Believe It","Here, Look","Carla Geneve",2025-08-27,142892,42,false,,2025-09-22T18:29:37Z,"","Dot Dash Recordings",0.631,0.408,8,-9.157,0,0.0275,0.853,0.000358,0.235,0.467,124.071,4
spotify:track:2SMyW5QMfFAl3xrJewBEbD,"Afraid","The Life You Save","Flock of Dimes",2025-10-10,221306,45,false,,2025-09-22T18:29:37Z,"","Sub Pop Records",0.567,0.5,1,-9.706,1,0.0381,0.415,0.00745,0.13,0.401,133.253,4
spotify:track:0hGjJ09ClfSjrGZFvs73LJ,"And They Called Her California","Long Way Home","Ray LaMontagne",2024-08-16,237266,45,false,,2025-09-22T18:29:37Z,"","Liula Records",0.437,0.426,9,-10.343,0,0.0269,0.364,0.000586,0.133,0.535,151.929,4
spotify:track:400ueH8D6vrLfHeDiFkFUE,"Silent Earth","Birds Will Fall","Josephine Illingworth",2025-04-04,256422,41,false,,2025-09-22T18:29:37Z,"","Regal",0.316,0.223,2,-15.593,1,0.0282,0.956,0.0323,0.221,0.132,87.537,4
spotify:track:4tULYF0rxBuv0wUxju4zE9,"Midnight Song","The Clearing","Wolf Alice",2025-08-22,170946,48,false,,2025-09-22T18:29:37Z,"indie","Columbia",0.418,0.468,9,-7.724,0,0.0276,0.624,0.00331,0.0921,0.336,129.091,4
spotify:track:66hVnkXp2fedj5uDXArbfl,"Sweetest Heart","Sweetest Heart","Rachel Bobbitt",2025-02-04,196436,43,false,,2025-09-22T18:29:37Z,"","Fantasy",0.377,0.501,2,-6.494,1,0.0265,0.445,0.00579,0.421,0.203,80.062,4
spotify:track:3ieUtb4ecQgEYxae8dzEUi,"Shrike","Wasteland, Baby!","Hozier",2019-03-01,298880,63,false,,2025-09-22T18:29:37Z,"","Universal-Island Records Ltd.",0.496,0.276,7,-8.464,0,0.0296,0.492,0.00367,0.101,0.0634,153.923,3
spotify:track:3bTDnlYinDUIC5giN64TNE,"To The Sandals","To The Sandals","Dove Ellis",2025-09-10,248932,43,false,,2025-09-22T18:29:37Z,"","Black Butter Records",0.499,0.35,7,-8.125,1,0.0259,0.585,0.00716,0.11,0.13,73.91,4
spotify:track:333XFHKsHU0pOocFzBgrJi,"Deeper Well","Deeper Well","Kacey Musgraves",2024-03-15,232133,68,false,,2025-09-22T18:29:37Z,"","Interscope Records/MCA Nashville",0.453,0.531,0,-7.88,1,0.028,0.459,0,0.178,0.347,110.114,4
spotify:track:75TAadHGUPiusHUqnyrcYZ,"Bones Shake","Shiver","Hazlett",2024-07-12,226011,40,false,,2025-09-22T18:29:37Z,"indie folk","Nettwerk Music Group",0.675,0.168,9,-12.393,1,0.0276,0.875,0.000252,0.11,0.197,93.954,4
spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,"august","folklore","Taylor Swift",2020-07-24,261922,85,false,,2025-09-22T18:29:37Z,"","Taylor Swift",0.532,0.623,5,-9.208,1,0.0331,0.538,0.0000728,0.0925,0.403,89.937,4
spotify:track:3tcCT8WhAIeRW2Ey9M4bL5,"Staying","Older","Lizzy McAlpine",2024-04-05,151647,81,false,,2025-09-22T18:29:37Z,"","Indigo Blue/RCA Records",0.496,0.214,4,-10.707,1,0.0303,0.844,0.000053,0.119,0.334,135.631,4
spotify:track:547bn3lGXPAhrymq0PLGAc,"Sinking Ship","Expectations","Wild Child",2018-02-09,247493,50,false,,2025-09-22T18:29:37Z,"folk pop","Dualtone Music Group",0.514,0.174,4,-19.316,0,0.0351,0.95,0.00284,0.11,0.188,92.734,4
spotify:track:2dLVXnwdnstcHIRTJMgqsx,"Seed of a Seed","Seed of a Seed","Haley Heynderickx",2024-07-30,164000,56,false,,2025-09-22T18:29:37Z,"","Mama Bird Recording Co.",0.55,0.281,1,-11.215,1,0.057,0.72,0.0761,0.101,0.516,136.678,4
spotify:track:3geQ6M6F4inMtcdrm5sunO,"Pined For You My Whole Life","Buses Replace Trains","Matt Maltese",2025-04-16,198186,39,false,,2025-09-22T18:29:37Z,"","Tonight Matthew",0.658,0.407,3,-9.024,1,0.0358,0.718,0.236,0.109,0.31,71.59,4
