Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:60glT2wsoSHV3B8yCRSB8v,"We Didn’t Start The Fire","We Didn’t Start The Fire","Fall Out Boy",2023-06-28,215530,63,false,,2026-04-18T02:46:49Z,"emo,pop punk","Fueled By Ramen",0.567,0.961,7,-4.084,1,0.0572,0.00139,0.000037,0.102,0.669,151.92,4
spotify:track:3JnsVuLgoMJEcn0slGZjuN,"It's A Sin","It's A Sin","Ghost",2026-01-16,280786,64,false,,2026-04-18T02:46:49Z,"metal,hard rock","Loma Vista Recordings",0.505,0.847,0,-5.657,0,0.0436,0.000855,0.000296,0.255,0.512,127.039,4
spotify:track:5yriBaBAgiRDoTVVWazMuv,"Changes (Live From Villa Park) Back To The Beginning (feat. Nuno Bettencourt, Frank Bello, Adam Wakeman, II)","Changes (Live From Villa Park) Back To The Beginning (feat. Nuno Bettencourt, Frank Bello, Adam Wakeman, II)","YUNGBLUD;Nuno Bettencourt;Frank Bello;Adam Wakeman;II",2025-07-18,340359,63,true,,2026-04-18T02:46:49Z,"arena rock,aor,progressive rock","Locomotion Recordings/Capitol Records",0.204,0.716,0,-5.392,1,0.0477,0.0238,0.0279,0.802,0.264,98.316,3
spotify:track:4rDuaj3XJe0SXSWFwQbWM6,"Ironic ('Mile End Kicks' - Music Inspired by the Motion Picture)","Ironic ('Mile End Kicks' - Music Inspired by the Motion Picture)","Avril Lavigne;Sumerian Pictures",2026-04-15,227294,57,false,,2026-04-18T02:46:49Z,"","Sumerian Records",0.536,0.733,11,-5.475,1,0.0513,0.0194,0,0.0894,0.417,170.03,4
spotify:track:2GBeNjgz5HSvBkE7dRryxk,"Karma Police","Karma Police","Pierce The Veil",2024-04-19,268005,57,false,,2026-04-18T02:46:49Z,"emo,screamo,post-hardcore","Fearless Records",0.435,0.761,7,-4.403,1,0.0402,0.0000783,0.0427,0.319,0.25,76.008,4
spotify:track:3pRCHHfwYNVCOjWSrkGNw1,"Burning Down the House","Burning Down the House","Paramore",2024-01-31,218093,57,false,,2026-04-18T02:46:49Z,"pop punk,emo","A24 Music",0.744,0.768,0,-6.054,1,0.0469,0.0194,0.00757,0.0979,0.39,106.006,4
spotify:track:68o1mDkJzpvTshz9xrfduC,"Wonderwall - Spotify Singles","Spotify Singles","Bring Me The Horizon",2025-01-29,240151,63,false,,2026-04-18T02:46:49Z,"metalcore,emo,rock,screamo,post-hardcore","RCA Records Label",0.338,0.943,9,-3.183,0,0.205,0.0001,0,0.134,0.333,185.957,4
spotify:track:3BXgm8kEDnAOdEXcA6Ibww,"Hey Ya! (feat. Mat Mitchell of Puscifer)","Hey Ya!","Return to Dust;Mat Mitchell",2026-04-17,198674,51,false,,2026-04-18T02:46:49Z,"post-grunge","Lava / Republic Records",0.372,0.768,0,-5.196,1,0.0554,0.0000862,0.207,0.359,0.138,135.122,4
spotify:track:5wTtMsguqbZ1T2wPx0Yx34,"Enter Sandman","Enter Sandman","Weezer",2021-08-03,334186,42,false,,2026-04-18T02:46:49Z,"alternative rock","Blackened Recordings / Universal Music",0.534,0.839,5,-5.14,0,0.0492,0.00109,0.0118,0.142,0.423,124.315,4
spotify:track:0uYVJ8z5kgMayMNPJA6Cz9,"Running Up That Hill","Covers","Placebo",2003-03-24,297320,66,false,,2026-04-18T02:46:49Z,"britpop","Elevator Lady Ltd",0.45,0.357,10,-13.691,0,0.0338,0.268,0.519,0.0944,0.0838,179.935,4
spotify:track:6ga5MQ9qQUlwOJpVIYFqft,"Mad World","Sounds From Beyond The Abyss (Vol. 1)","The Funeral Portrait",2023-10-13,215176,47,false,,2026-04-18T02:46:49Z,"","Better Noise Music",0.306,0.788,3,-4.971,1,0.0398,0.00194,0.0000568,0.106,0.24,174.037,4
spotify:track:45HAjqRWiNv6mMPw4NvZrU,"Come Together","Come Together","Gary Clark Jr.;Junkie XL",2017-09-08,193714,62,false,,2026-04-18T02:46:49Z,"modern blues,blues rock,blues,soul blues,big beat,score,soundtrack","Warner Records",0.447,0.788,2,-4.994,0,0.0464,0.00257,0.0000168,0.0744,0.505,80.04,4
spotify:track:2bmGjqYsvXVTt1CRfUicIH,"Lonely Day - Spotify Singles","Lonely Day - Spotify Singles","Amira Elfeky",2024-02-12,156000,45,false,,2026-04-18T02:46:49Z,"shoegaze","Anemoia/Atlantic",0.446,0.395,9,-7.097,0,0.0289,0.717,0.00000269,0.0964,0.116,109.89,3
spotify:track:1aXFBWnnPFRKUN7vuIA5h0,"Turn The Page","Garage Inc.","Metallica",1998-01-01,366466,70,false,,2026-04-18T02:46:49Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.426,0.813,8,-3.963,1,0.0318,0.0000194,0.022,0.0937,0.228,149.013,4
spotify:track:7dpPH25jaKKvKDJcYDgF6d,"Universal Soldier","HELP(2)","Depeche Mode;War Child Records",2026-03-06,200689,58,false,,2026-04-18T02:46:49Z,"new wave,synthpop,darkwave","War Child Records",0.572,0.769,6,-6.666,0,0.0383,0.00285,0.000381,0.114,0.338,97.013,4
spotify:track:0olaaJrCBTMJJvqPdvNpsx,"Zombie (Live from the NIVA Save Our Stages Festival)","Plastic Hearts","Miley Cyrus",2020-11-27,290767,59,false,,2026-04-18T02:46:49Z,"","RCA Records Label",0.407,0.872,7,-5.001,1,0.0354,0.000206,0.0451,0.127,0.323,164,4
spotify:track:1MTQHCpraD4S8g5PAFKzoj,"Behind Blue Eyes","Results May Vary","Limp Bizkit",2003-01-01,269973,80,false,,2026-04-18T02:46:49Z,"nu metal,rap metal,alternative metal,rap rock","Limp Bizkit / Interscope",0.595,0.489,7,-6.66,1,0.0271,0.497,0,0.119,0.0902,120.312,4
spotify:track:6uZKYeaga47QVhuJsowy18,"Miss Murder (From The ""American Psycho"" Comic Series Soundtrack)","Miss Murder (From The ""American Psycho"" Comic Series Soundtrack)","Charlotte Sands;American Psycho;Sumerian Comics",2024-09-12,180149,40,false,,2026-04-18T02:46:49Z,"","Sumerian Records",0.537,0.754,3,-4.63,0,0.0873,0.000428,0.0000941,0.151,0.502,142.008,4
spotify:track:5muVpPu8Fj9fXfDbbqDdrZ,"Love Buzz","Bleach","Nirvana",1989-06-01,215203,69,false,,2026-04-18T02:46:49Z,"grunge,rock","Sub Pop Records",0.479,0.865,5,-8.281,0,0.0339,0.000031,0.228,0.182,0.77,137.902,4
spotify:track:3Wrjm47oTz2sjIgck11l5e,"Beggin'","Chosen","Måneskin",2017-12-08,211560,87,false,,2026-04-18T02:46:49Z,"","RCA Records Label",0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,4
spotify:track:5PK1JCSdr34gWgzYHgt3Jq,"Feeling Good","Origin of Symmetry","Muse",2001,198800,66,false,,2026-04-18T02:46:49Z,"alternative rock,rock","WM UK",0.345,0.418,7,-7.787,0,0.0316,0.299,0.0000175,0.103,0.267,109.044,3
spotify:track:46eHxWRKmtYhUHPDRgclt6,"Careless Whisper","Finding Beauty In Negative Spaces (Bonus Track Version)","Seether",2007-01-01,296973,72,false,,2026-04-18T02:46:49Z,"post-grunge,alternative metal,rock","Fantasy Records",0.469,0.943,2,-4.196,1,0.102,0.0000607,0.00547,0.0717,0.358,134.031,4
spotify:track:55ikcenXPbQdzCnO1sOuYg,"I Was Made For Lovin’ You - from The Fall Guy","I Was Made For Lovin' You (from The Fall Guy)","YUNGBLUD",2024-04-26,261519,77,false,,2026-04-18T02:46:49Z,"","Locomotion Recordings/Geffen Records",0.333,0.637,2,-8.428,0,0.0427,0.00763,0,0.12,0.274,129.868,4
spotify:track:15VRO9CQwMpbqUYA7e6Hwg,"The Man Who Sold The World - Live","MTV Unplugged In New York","Nirvana",1994-11-01,261093,80,false,,2026-04-18T02:46:49Z,"grunge,rock","DGC",0.483,0.753,1,-8.937,0,0.0832,0.425,0.000142,0.257,0.42,115.102,4
spotify:track:5oKDlNNOPhWqQiExDax3zI,"No Ordinary Love - 2005 Remaster","B-Sides & Rarities","Deftones",2005,334746,31,false,,2026-04-18T02:46:49Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Maverick",0.663,0.805,11,-7.211,0,0.0491,0.258,0.251,0.0792,0.88,83.044,4
spotify:track:2302lUwfZ4S4dVyPOCDFnQ,"Sweet Dreams (Are Made Of This)","Smells Like Children","Marilyn Manson",1995-01-01,293293,73,false,,2026-04-18T02:46:49Z,"industrial metal,industrial rock,industrial,metal,nu metal","Marilyn Manson / Interscope",0.392,0.642,8,-5.267,1,0.0326,0.0048,0.486,0.296,0.129,92.698,4
spotify:track:0cvW31FIK6B3mUqWLUHorv,"Careless Whisper","Careless Whisper","Brigitte Calls Me Baby",2025-01-22,204767,33,false,,2026-04-18T02:46:49Z,"","ATO Records",0.391,0.961,0,-3.907,0,0.153,0.0571,0.000173,0.12,0.441,165.942,4
spotify:track:0EJlSUNoYL931cYAQspN5i,"MASTERS OF WAR","INERTIA","grandson",2025-12-05,217292,54,false,,2026-04-18T02:46:49Z,"","grandson",0.581,0.791,9,-7.751,1,0.0372,0.00879,0.0542,0.0955,0.229,94.994,3
spotify:track:2VprRdTmbgyjXnDzHIcfNl,"Rolling In The Deep - Recorded At Spotify Studios NYC","Spotify Singles","Greta Van Fleet",2018-01-24,237653,57,false,,2026-04-18T02:46:49Z,"rock","Lava Music/Republic Records",0.614,0.474,11,-10.133,0,0.0264,0.00563,0.00285,0.1,0.388,104.987,4
spotify:track:14M0JWFCnsKNGSvzDn0j6q,"War Pigs - Charity Version","War Pigs (Charity Version)","Judas Priest;Ozzy Osbourne",2025-09-26,484779,57,false,,2026-04-18T02:46:49Z,"heavy metal,metal,hard rock,glam metal,speed metal","Columbia",0.258,0.813,9,-7.985,1,0.0518,0.000682,0.013,0.126,0.395,177.534,4
spotify:track:5wViaajeHHPZlEjBY9nhU3,"...Baby One More Time (from Kung Fu Panda 4)","Kung Fu Panda 4 (Original Motion Picture Soundtrack)","Tenacious D",2024-03-08,192600,64,false,,2026-04-18T02:46:49Z,"comedy","Back Lot Music",0.497,0.584,5,-8.282,0,0.0312,0.00558,0.0000128,0.348,0.64,199.942,4
spotify:track:26woPsr89JQa1zAfLjaipn,"SEX ON FIRE","SEX ON FIRE","Kami Kehoe",2026-01-16,197647,52,false,,2026-04-18T02:46:49Z,"","Coup D'Etat Recordings / Atlantic Recording Corp",0.48,0.936,7,-4.843,1,0.0961,0.000252,0.00179,0.12,0.382,76.523,4
spotify:track:3pRaLNL3b8x5uBOcsgvdqM,"Hallelujah","Grace","Jeff Buckley",1994,413813,72,false,,2026-04-18T02:46:49Z,"","Columbia/Legacy",0.324,0.136,0,-10.33,1,0.0318,0.931,0.00117,0.176,0.0831,97.256,3
spotify:track:7sZD8tOmfRUObogGX8VzfZ,"Billie Jean","Carry On","Chris Cornell",2007-05-28,281373,46,false,,2026-04-18T02:46:49Z,"grunge","Interscope",0.513,0.625,4,-4.822,0,0.0436,0.592,0.0000394,0.12,0.408,137.863,3
spotify:track:2MhJNvtkInVsS4zXXflvoV,"Heroes","Rise","Hollywood Vampires;Alice Cooper;Johnny Depp",2019-06-21,248653,47,false,,2026-04-18T02:46:49Z,"glam rock,hard rock,glam metal,proto-punk,classic rock,musicals","earMUSIC",0.365,0.903,6,-2.701,1,0.0443,0.0216,0.812,0.104,0.616,114.081,4
spotify:track:2tFcYLM3T3PWy0SsGHwOkv,"I Ran (So Far Away)","I Ran (So Far Away)","The Beaches",2026-01-16,211031,53,false,,2026-04-18T02:46:49Z,"","Beaches Touring Inc",0.479,0.855,11,-4.525,0,0.0709,0.0188,0,0.416,0.795,153.955,4
spotify:track:7ggenkMBaa7obYGuAC9zzz,"The Fate of Ophelia","The Fate of Ophelia","Our Last Night",2025-11-14,217862,69,false,,2026-04-18T02:46:49Z,"post-hardcore,metalcore","OLN Recordings",0.527,0.947,5,-2.912,1,0.0556,0.000277,0.0000053,0.426,0.402,123.956,4
spotify:track:3mtukCAgd0mE260QcBfXAX,"Love Song","Greatest Hits '93 - '03","311",2004-06-08,211693,66,false,,2026-04-18T02:46:49Z,"reggae rock,funk rock,rap rock","Volcano",0.625,0.686,9,-8.337,0,0.0309,0.0154,0.0499,0.0932,0.556,139.817,4
spotify:track:2SprbOeFdglaLgZoCcytuu,"BE QUIET AND DRIVE (FAR AWAY)","BE QUIET AND DRIVE (FAR AWAY) – Spotify Singles","HEALTH",2024-02-12,187189,43,false,,2026-04-18T02:46:49Z,"noise rock,industrial,industrial rock,witch house,industrial metal","Loma Vista Recordings",0.463,0.91,1,-4.946,1,0.0468,0.0000815,0.864,0.0421,0.542,82.514,4
spotify:track:1pHPpLVH2XEN0xYRoQs4wq,"Word Up!","Word Up! (The Remixes)","Korn",2004-11-16,172666,71,false,,2026-04-18T02:46:49Z,"nu metal,metal,rap metal,alternative metal","Epic/Legacy",0.577,0.94,6,-4.439,0,0.0361,0.0000242,0.0715,0.347,0.818,116.045,4
spotify:track:4JiEyzf0Md7KEFFGWDDdCr,"Knockin' On Heaven's Door","Use Your Illusion II","Guns N' Roses",1991-09-18,336000,83,false,,2026-04-18T02:46:49Z,"rock,glam metal,hard rock,classic rock","Guns N Roses P&D",0.496,0.739,6,-7.193,1,0.0416,0.0209,0.00451,0.106,0.377,132.411,4
spotify:track:4Y7j3p1u6inNswIJHX7jzy,"Reach Out I'll Be There","You've Always Been Here","The Jaded Hearts Club;Nic Cester",2020-10-02,186306,37,false,,2026-04-18T02:46:49Z,"","Infectious Music",0.493,0.986,1,-2.279,1,0.0917,0.000967,0.00662,0.124,0.567,122.036,4
spotify:track:3zOlblZcFlt12XXAnS1ItD,"Dream On","Burn the Ships","Blacktop Mojo",2017-03-10,265476,60,false,,2026-04-18T02:46:49Z,"","Snafu Records",0.491,0.678,5,-4.679,0,0.0252,0.0037,0.0000015,0.0838,0.181,77.008,4
spotify:track:4THrHKyBL0yaDDw9yg37Zk,"I Will Survive","Fashion Nugget","CAKE",1996-09-17,309661,64,true,,2026-04-18T02:46:49Z,"alternative rock","Volcano",0.501,0.689,4,-7.952,0,0.0318,0.306,0.000169,0.133,0.873,95.758,4
spotify:track:2mC33mxgLJN3IT65MGN3B0,"Nothing Else Matters","Nothing Else Matters","Miley Cyrus;WATT;Elton John;Yo-Yo Ma;Robert Trujillo;Chad Smith",2021-06-22,395785,59,false,,2026-04-18T02:46:49Z,"classical,chamber music,rap metal,rap rock","Blackened Recordings / Universal Music",0.452,0.668,4,-5.118,0,0.0292,0.00516,0.0000145,0.112,0.142,142.548,3
spotify:track:6Kl9rabCEVbBpegNTQfFc6,"PSYCHO KILLER (featuring Victoria De Angelis)","DANSE MACABRE","Duran Duran",2023-10-27,265547,35,false,,2026-04-18T02:46:49Z,"new wave,synthpop","BMG Rights Management (US) LLC",0.67,0.904,7,-4.562,1,0.08,0.00231,0.000947,0.08,0.614,120.008,4
spotify:track:7eunkM3TVbhBSuWirm0JSv,"Unbreak My Heart","Death to False Metal (International Version)","Weezer",2010-01-01,251613,35,false,,2026-04-18T02:46:49Z,"alternative rock","Geffen",0.464,0.712,10,-5.123,0,0.0317,0.174,0.0000146,0.0992,0.33,131.887,4
spotify:track:1fiWssJa2EUFvm2ObOQnxO,"Silver Springs - Live at Brixton Academy","Silver Springs (Live at Brixton Academy)","The Beaches",2026-03-20,258125,47,false,,2026-04-18T02:46:49Z,"","Beaches Touring Inc",0.577,0.733,0,-5.942,1,0.0277,0.494,0,0.985,0.396,95.991,4
