Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2EM9zpAc7PVeoAydmbfVIL,"La Camisa Negra","Mi Sangre","Juanes",2004-01-01,216706,77,false,,2024-06-04T19:12:33Z,"latin pop,colombian pop,rock en español","National Own (UC)",0.751,0.731,6,-4.419,0,0.0308,0.0838,0,0.0556,0.973,97.007,4
spotify:track:2WoqgtWEBbbBKMDN6Becs7,"Corazon Espinado (feat. Mana)","Supernatural (Remastered)","Santana;Maná",1999-06-15,274773,66,false,,2024-06-04T19:12:33Z,"rock en español,latin rock,mexican rock,latin pop","Columbia/Legacy",0.699,0.789,11,-5.173,0,0.0285,0.13,0.287,0.0874,0.962,119.959,4
spotify:track:5EJ2THuhAapEIeQOtXUQ0x,"Oye Mi Amor","¿Dónde Jugarán Los Niños?","Maná",1992,263306,83,false,,2024-06-04T19:12:33Z,"rock en español,latin rock,mexican rock,latin pop","WM Mexico",0.543,0.903,11,-6.658,0,0.039,0.0102,0.00585,0.0862,0.962,162.241,4
spotify:track:1nULBrlzWatdcjA2ZctIMv,"Labios Rotos - En Vivo Desde México / 2010","MTV Unplugged Música De Fondo (Reissue/Live)","Zoé",2011-01-01,243040,80,false,,2024-06-04T19:12:33Z,"rock en español,mexican rock,mexican indie,latin alternative,latin indie,latin rock","EMI México",0.579,0.758,11,-7.08,1,0.0281,0.0731,0.00292,0.708,0.288,109.054,4
spotify:track:7J2885UBOaG6x3LLkp2YGf,"En La Ciudad De La Furia - Remasterizado 2007","Doble Vida (Remastered)","Soda Stereo",1988-10-09,346053,70,false,,2024-06-04T19:12:33Z,"rock en español,latin rock,argentine rock,latin alternative","Columbia",0.611,0.803,2,-6.022,1,0.0278,0.0823,0.855,0.0942,0.715,126.506,4
spotify:track:6kdCN6gTWLcLxmLXoUcwuI,"Eres","Cuatro Caminos","Café Tacvba",2003-07-01,267600,79,false,,2024-06-04T19:12:33Z,"rock en español,mexican rock,latin rock,latin alternative,ska","Geffen*",0.583,0.731,9,-6.18,0,0.0271,0.0107,0.0136,0.238,0.446,149.987,4
spotify:track:129lYDVKnWtlJc2PZJviuA,"A Dios Le Pido","Un Día Normal","Juanes",2002-01-01,205373,76,false,,2024-06-04T19:12:33Z,"latin pop,colombian pop,rock en español","Int'l Latin America",0.673,0.84,7,-3.564,1,0.0559,0.0683,0,0.0965,0.94,97.027,4
spotify:track:5EfHXTq8UPCFyPDvCNIKMm,"Kumbala","El Circo","Maldita Vecindad Y Los Hijos Del 5to. Patio",1991-08-13,267226,73,false,,2024-06-04T19:12:33Z,"rock en español,ska,mexican rock,mexican ska,latin rock","Ariola",0.722,0.368,4,-13.212,0,0.0305,0.0116,0.00178,0.0806,0.526,120.251,4
spotify:track:2VhJ4nrPorAbySEgO4V0BS,"Soñé - En Vivo","MTV Unplugged Música De Fondo (Reissue/Live)","Zoé",2011-01-01,226626,76,false,,2024-06-04T19:12:33Z,"rock en español,mexican rock,mexican indie,latin alternative,latin indie,latin rock","EMI México",0.627,0.476,2,-7.231,1,0.0282,0.132,0.0147,0.716,0.462,83,4
spotify:track:7vcDJCAO356RYkCfiUozmE,"Maldito duende","Senderos De Traición - Edición Especial","Heroes Del Silencio",1990,253186,76,false,,2024-06-04T19:12:33Z,"rock en español,latin rock,mexican rock,latin alternative","Parlophone Spain",0.374,0.85,4,-5.657,0,0.0404,0.0904,0,0.116,0.348,125.796,4
