Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:30FURVTCpbKyykjSEQzGkH,"Back To Black","Back To Black","Amy Winehouse",2006-10-27,240440,82,true,,2025-03-08T22:08:49Z,"","Universal-Island Records Ltd.",0.49,0.725,10,-3.304,1,0.0392,0.123,0.0000268,0.0983,0.335,123.28,4
spotify:track:1qbmS6ep2hbBRaEZFpn7BX,"Man I Need","Man I Need","Olivia Dean",2025-08-15,184000,97,false,,2026-02-13T05:00:30Z,"pop soul","PLG - Capitol",0.808,0.593,1,-7.27,1,0.0714,0.488,0.000451,0.0933,0.688,119.008,4
spotify:track:6qqrTXSdwiJaq8SO0X2lSe,"Ordinary","Ordinary","Alex Warren",2025-02-07,186964,89,false,,2025-05-09T04:00:22Z,"","Atlantic Records",0.446,0.682,2,-6.229,1,0.0497,0.739,0.00000951,0.0562,0.382,112.252,4
spotify:track:02dRkCEc8Q5ch4TTcnLxOn,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Late Night Feelings","Mark Ronson;Miley Cyrus",2019-06-21,217099,79,false,,2025-03-08T22:08:49Z,"","Columbia",0.601,0.794,7,-5.844,0,0.0671,0.00987,0.00000136,0.418,0.244,114.066,4
spotify:track:4pGqFOfzvfe6avb9kbZicC,"Sweater Weather","I'm Sorry...","The Neighbourhood",2012-08-07,240040,65,false,,2025-03-08T22:08:49Z,"","the [r]evolve group",0.695,0.615,7,-5.325,0,0.042,0.15,0.000212,0.0879,0.414,124.015,4
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,97,false,,2025-03-08T22:08:49Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:3JvKfv6T31zO0ini8iNItO,"Another Love","Long Way Down (Deluxe)","Tom Odell",2013-06-24,244360,88,true,,2025-03-08T22:08:49Z,"","ITNO/Columbia",0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,4
spotify:track:5Ohxk2dO5COHF1krpoPigN,"Sign of the Times","Harry Styles","Harry Styles",2017-05-12,340706,92,false,,2025-03-08T22:08:49Z,"","Columbia",0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,4
spotify:track:4OSBTYWVwsQhGLF9NHvIbR,"Rolling in the Deep","21","Adele",2011-01-24,228093,82,false,,2025-03-08T22:08:49Z,"soft pop","XL Recordings",0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
spotify:track:54PbBpquVfhfrwRwvjSXbI,"We Don't Talk Anymore (feat. Selena Gomez)","Nine Track Mind (Special Edition)","Charlie Puth;Selena Gomez",2015-11-05,217706,85,false,,2025-03-08T22:08:49Z,"soft pop","Artist Partner",0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,4
