Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0FTmksd2dxiE5e3rWyJXs6,"back to friends","back to friends","sombr",2024-12-27,199032,91,false,,2025-12-27T05:55:14Z,"","Warner Records",0.436,0.723,1,-2.291,1,0.0301,0.0000937,0.0000882,0.0929,0.235,92.855,4
spotify:track:1rIKgCH4H52lrvDcz50hS8,"Lush Life","So Good","Zara Larsson",2017-03-17,200646,94,false,,2025-12-27T05:55:14Z,"","Epic/Record Company TEN",0.694,0.712,7,-3.923,0,0.046,0.132,0,0.211,0.799,98.023,4
spotify:track:3C0nOe05EIt1390bVABLyN,"On The Floor","Love?","Jennifer Lopez;Pitbull",2011-04-29,284866,85,false,,2025-12-27T05:55:14Z,"","Nuyorican Productions / IDJ",0.73,0.777,3,-5.194,0,0.0496,0.105,0.000486,0.0691,0.575,130.003,4
spotify:track:0C4ejWmOTMv8vuYj85mf8m,"S&M","Loud","Rihanna",2010-11-16,243533,75,true,,2025-12-27T05:55:14Z,"","Def Jam Recordings",0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975,4
spotify:track:4OSBTYWVwsQhGLF9NHvIbR,"Rolling in the Deep","21","Adele",2011-01-24,228093,82,false,,2025-12-27T05:55:14Z,"soft pop","XL Recordings",0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,"Gimme! Gimme! Gimme! (A Man After Midnight)","Voulez-Vous","ABBA",1979,292613,84,false,,2025-12-27T05:55:14Z,"","Polar Music International AB",0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,4
spotify:track:6I9VzXrHxO9rA9A5euc8Ak,"Toxic","In The Zone","Britney Spears",2003-11-13,198800,87,false,,2025-12-27T05:55:14Z,"pop","Jive",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
spotify:track:6urCAbunOQI4bLhmGpX7iS,"Don't Speak","Tragic Kingdom","No Doubt",1995-10-10,263560,83,false,,2025-12-27T05:55:14Z,"","Trauma",0.52,0.709,5,-7.125,0,0.0352,0.247,0.0000178,0.18,0.536,76.039,4
spotify:track:06KyNuuMOX1ROXRhj787tj,"We Don't Talk Anymore (feat. Selena Gomez)","Nine Track Mind","Charlie Puth;Selena Gomez",2016-01-29,217706,81,false,,2025-12-27T05:55:14Z,"soft pop","Artist Partner",0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,4
spotify:track:3di5hcvxxciiqwMH1jarhY,"Set Fire to the Rain","21","Adele",2011-01-24,242973,83,false,,2025-12-27T05:55:14Z,"soft pop","XL Recordings",0.603,0.67,2,-3.882,0,0.0249,0.00408,0.00000168,0.112,0.446,107.993,4
