Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2drXvACELcvwryaFRiRPdA,"Sh-Boom","Life Could Be a Dream: The Sh-Boom Sound of The Chords","The Chords",2022-11-18,144493,70,false,,2026-02-09T17:43:32Z,"doo-wop","Warner Music Group - X5 Music Group",0.655,0.515,5,-7.726,1,0.0452,0.612,0,0.228,0.885,136.683,4
spotify:track:6sby78fghipoXHQLeeZFFH,"When Doves Cry","Purple Rain","Prince",1984-06-25,354133,77,false,,2026-02-09T17:43:32Z,"funk rock,funk","Warner Records",0.729,0.989,9,-4.613,0,0.049,0.0102,0.0000443,0.443,0.841,126.468,4
spotify:track:1uvyZBs4IZYRebHIB1747m,"Purple Rain","Purple Rain","Prince",1984-06-25,521866,87,false,,2026-02-09T17:43:32Z,"funk rock,funk","Warner Records",0.373,0.452,10,-10.417,1,0.0321,0.0354,0.00227,0.689,0.179,113.212,4
spotify:track:5ihS6UUlyQAfmp48eSkxuQ,"Landslide","Fleetwood Mac","Fleetwood Mac",1975-07-11,199493,87,false,,2026-02-09T17:43:32Z,"yacht rock,classic rock,soft rock","Warner Records",0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
spotify:track:4IvZLDtwBHmBmwgDIUbuwa,"Here Comes Your Man","Doolittle","Pixies",1989-04-17,201186,73,false,,2026-02-09T17:43:32Z,"alternative rock","4AD",0.669,0.795,2,-10.865,1,0.0285,0.00772,0.0781,0.401,0.882,124.594,4
spotify:track:4OROzZUy6gOWN4UGQVaZMF,"The Trooper - 2015 Remaster","Piece of Mind (2015 Remaster)","Iron Maiden",1983,252733,77,false,,2026-02-09T17:43:32Z,"heavy metal,metal,hard rock,rock","Parlophone UK",0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,4
spotify:track:4xDh3M3vz55WXyv30Lc6r5,"Sweet Jane","The Trinity Session","Cowboy Junkies",1989-02-06,214973,61,false,,2026-02-09T17:43:32Z,"alt country","RCA Records Label",0.604,0.204,7,-22.191,1,0.0316,0.359,0.0829,0.111,0.805,167.335,4
spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,"""Heroes"" - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,371413,81,false,,2026-02-09T17:43:32Z,"glam rock,art rock","Parlophone UK",0.489,0.758,7,-6.491,1,0.0297,0.000678,0.49,0.092,0.435,112.113,4
spotify:track:5UBF4bnDbV4t0wdOzqLS6O,"Heart and Soul","Last Date","Floyd Cramer",1960,131440,48,false,,2026-02-09T17:43:32Z,"","RCA/Legacy",0.415,0.597,0,-9.69,1,0.03,0.733,0.0492,0.222,0.932,139.483,4
spotify:track:1PtQJZVZIdWIYdARpZRDFO,"Running Up That Hill (A Deal With God)","Hounds Of Love","Kate Bush",1985-09-16,298933,87,false,,2026-02-09T17:43:32Z,"art pop,baroque pop,art rock","Fish People",0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,4
