Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4gVsKMMK0f8dweHL7Vm9HC,"Mind Loaded (feat. Caroline Polachek, Lorde & Mustafa)","Mind Loaded (feat. Caroline Polachek, Lorde & Mustafa)","Blood Orange;Caroline Polachek;Lorde;Mustafa",2025-07-17,217901,54,false,,2025-10-17T10:29:03Z,"art pop","Domino Recording Co./RCA Records",0.306,0.252,10,-11.333,0,0.0321,0.826,0.0361,0.113,0.22,70.264,4
spotify:track:2DACyRDGYNkyXkjQ9DpPSV,"Exhale","And Your Song is Like a Circle","Skullcrusher",2025-10-17,196746,40,false,,2025-10-17T10:29:03Z,"","Dirty Hit",0.405,0.486,6,-9.555,1,0.0289,0.153,0.0846,0.1,0.102,140.134,4
spotify:track:02kTd6gB8IsBwPygDTHE4c,"Nettles","Willoughby Tucker, I'll Always Love You","Ethel Cain",2025-08-08,483692,69,false,,2025-10-17T10:29:03Z,"southern gothic","Daughters of Cain Records",0.346,0.312,0,-9.482,1,0.0304,0.541,0.000379,0.101,0.144,130.069,4
spotify:track:3QLM65XQLKZNxMtQioeQ42,"Play It Out","The Clearing","Wolf Alice",2025-08-22,251373,49,true,,2025-10-17T10:29:03Z,"indie","Columbia",0.5,0.337,0,-10.945,1,0.0269,0.827,0.000125,0.117,0.0955,107.025,4
spotify:track:5Qnrgqy1pAm9GyNQOgyVFz,"Fourth of July","Carrie & Lowell","Sufjan Stevens",2015-03-31,279316,80,false,,2025-10-17T10:29:03Z,"baroque pop","Asthmatic Kitty",0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,4
spotify:track:2fuYa3Lx06QQJAm0MjztKr,"Let Down","OK Computer","Radiohead",1997-05-28,299560,89,false,,2025-10-17T10:29:03Z,"art rock,alternative rock","XL Recordings",0.351,0.676,9,-9.017,1,0.0313,0.000121,0.113,0.18,0.143,102.46,4
spotify:track:1LzNfuep1bnAUR9skqdHCK,"Fade Into You","So Tonight That I Might See","Mazzy Star",1993-10-05,295600,87,false,,2025-10-17T10:29:03Z,"dream pop,shoegaze,slowcore","Capitol Records",0.417,0.33,9,-13.925,1,0.0275,0.247,0.000689,0.0677,0.175,157.113,3
spotify:track:1XTY6rA7XQosc0ynkkE9kN,"Black Friday","Black Friday","Tom Odell",2023-09-22,221510,72,false,,2025-10-17T10:29:03Z,"","UROK",0.48,0.199,6,-12.398,1,0.0329,0.931,0.0563,0.0978,0.201,165.476,4
spotify:track:42SKTvz8CvqTEzmADF4nI5,"Tejano Blue","X's","Cigarettes After Sex",2024-07-12,234453,70,true,,2025-10-17T10:29:03Z,"dream pop","Partisan Records",0.538,0.461,4,-9.989,1,0.0379,0.533,0.557,0.116,0.268,81.997,4
spotify:track:4NjWqzNLY1E0OylkvAiLxH,"See Through","See Through","Ruti",2025-10-10,170877,36,false,,2025-10-17T10:29:03Z,"liquid funk","Big Family Music Limited",0.438,0.437,3,-8.381,0,0.0379,0.675,0.000031,0.109,0.463,128.912,4
