Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:47Sa7pC00F7D5Z0i7HC5la,"DOG HOUSE (feat. Julia Wolf & Yeat)","DOG HOUSE","Drake;Julia Wolf;Yeat",2025-09-09,190010,71,true,,2025-09-15T17:44:37Z,"rap,rage rap","OVO/Republic",0.705,0.535,8,-6.144,1,0.047,0.00462,0,0.115,0.195,148.987,4
spotify:track:2aTf0R0TQCJJKcb0ipszD2,"SOMEBODY LOVES ME PT. 2","SOMEBODY LOVES ME PT. 2","PARTYNEXTDOOR;Drake;Cash Cobain",2025-09-05,181276,68,true,,2025-09-15T17:44:37Z,"dark r&b,r&b,trap soul,rap,sexy drill,jersey club","OVO Sound",0.59,0.641,3,-5.933,0,0.183,0.71,0.0000499,0.0945,0.712,123.887,5
spotify:track:5FMyXeZ0reYloRTiCkPprT,"Which One (feat. Central Cee)","Which One","Drake;Central Cee",2025-07-25,169134,81,true,,2025-09-15T17:44:37Z,"rap,uk drill,drill,uk grime","OVO/Republic",0.91,0.498,7,-7.172,0,0.258,0.342,0.000517,0.163,0.501,120.02,4
spotify:track:57GsLpRtEtrzcPGPop20rS,"What Did I Miss?","What Did I Miss?","Drake",2025-07-05,194324,80,true,,2025-07-06T00:52:15Z,"rap","OVO/Republic",0.753,0.802,0,-4.066,0,0.043,0.181,0,0.298,0.464,126.252,4
spotify:track:2u9S9JJ6hTZS3Vf22HOZKg,"NOKIA","$ome $exy $ongs 4 U","Drake",2025-02-14,241023,84,true,,2025-07-06T00:52:15Z,"rap","OVO Sound",0.537,0.727,5,-4.184,1,0.15,0.247,0,0.173,0.508,106.037,4
spotify:track:2rKNlxKBZvpSpuIChBdHts,"2 Mazza (feat. Drake)","Don't Box Me In","Smiley;Drake",2025-06-13,191907,64,true,,2025-07-06T00:52:15Z,"rap","OVO Sound",0.725,0.808,5,-4.004,0,0.128,0.0536,0,0.431,0.213,120.038,4
spotify:track:2kZoOj1n5vk9BuF0sih58M,"SOMEBODY LOVES ME","$ome $exy $ongs 4 U","PARTYNEXTDOOR;Drake",2025-02-14,182767,80,true,,2025-07-06T00:52:15Z,"dark r&b,r&b,trap soul,rap","OVO Sound",0.365,0.511,9,-6.14,1,0.0905,0.514,0,0.702,0.222,77.029,3
spotify:track:5Nz7hI3cCOHmMR4vSLJ1An,"GIMME A HUG","$ome $exy $ongs 4 U","Drake",2025-02-14,193054,71,true,,2025-07-06T00:52:15Z,"rap","OVO Sound",0.457,0.671,1,-5.53,1,0.0979,0.0643,0,0.0772,0.245,142.95,4
spotify:track:0NUqi0ps17YpLUC3kgsZq0,"DIE TRYING","$ome $exy $ongs 4 U","PARTYNEXTDOOR;Drake;Yebba",2025-02-14,195431,84,true,,2025-07-06T00:52:15Z,"dark r&b,r&b,trap soul,rap","OVO Sound",0.763,0.531,11,-6.154,1,0.0328,0.146,0,0.175,0.665,110.497,4
spotify:track:1F6nHHDJyTHLgDDFj1ZZDt,"SOMETHING ABOUT YOU","$ome $exy $ongs 4 U","PARTYNEXTDOOR;Drake",2025-02-14,218682,75,true,,2025-07-06T00:52:15Z,"dark r&b,r&b,trap soul,rap","OVO Sound",0.51,0.491,7,-8.869,0,0.1,0.24,0.0000273,0.359,0.0792,136.093,4
spotify:track:1DMYEiuAgz1OKvANXiNFrN,"Recognize (feat. Drake)","PARTYNEXTDOOR TWO","PARTYNEXTDOOR;Drake",2014-07-29,311197,76,true,,2025-07-06T00:52:15Z,"dark r&b,r&b,trap soul,rap","OVO Sound",0.644,0.541,2,-5.801,1,0.0426,0.0102,0,0.102,0.165,119.513,4
spotify:track:6cEguiQecbXrFlsnMi2ysr,"Come and See Me (feat. Drake)","PARTYNEXTDOOR 3 (P3)","PARTYNEXTDOOR;Drake",2016-08-12,235477,78,true,,2025-07-06T00:52:15Z,"dark r&b,r&b,trap soul,rap","OVO Sound",0.77,0.347,2,-10.265,1,0.0623,0.0511,0.00000257,0.087,0.0583,84.957,4
spotify:track:1560osUcXrnov6yuOjXvc1,"No Face","No Face","Drake",2024-08-31,137142,75,true,,2025-07-06T00:52:15Z,"rap","OVO",0.853,0.69,10,-5.858,1,0.0647,0.0771,0,0.0835,0.471,125.951,4
spotify:track:1eroCliWpJrEu1V7VSObcO,"Circadian Rhythm","100 GIGS","Drake",2024-08-30,126356,76,true,,2025-07-06T00:52:15Z,"rap","OVO/Republic",0.694,0.574,1,-6.144,0,0.0483,0.193,0,0.082,0.286,146.007,4
spotify:track:1qIwin7JMVuX70qN6wD8ww,"It's Up (feat. Young Thug & 21 Savage)","100 GIGS","Drake;Young Thug;21 Savage",2024-08-30,278000,72,true,,2025-07-06T00:52:15Z,"rap,trap,melodic rap","OVO/Republic",0.783,0.723,1,-4.881,1,0.135,0.0264,0,0.159,0.294,139.942,4
spotify:track:3YPEtDvQWStCH8eCq0Fl8Z,"Housekeeping Knows (feat. Latto)","100 GIGS","Drake;Latto",2024-08-30,186692,61,true,,2025-07-06T00:52:15Z,"rap","OVO/Republic",0.781,0.73,9,-5.77,1,0.0774,0.0058,0,0.0961,0.34,76.961,4
spotify:track:5hrnlL3rqxLrkB8UQynmxh,"Healing","DIAMANTE","Gordo;Drake",2024-07-26,294000,68,false,,2025-07-06T00:52:15Z,"techengue,afro house,latin house,rap","Ultra Records, LLC",0.678,0.426,1,-10.53,0,0.0504,0.738,0.032,0.128,0.0772,119.94,4
spotify:track:02YMpD1xbZZzpZbuZNvmD7,"Sideways","DIAMANTE","Gordo;Drake",2024-07-26,253770,69,false,,2025-07-06T00:52:15Z,"techengue,afro house,latin house,rap","Ultra Records, LLC",0.655,0.57,5,-11.475,0,0.0487,0.527,0.43,0.105,0.487,121.843,4
spotify:track:1wFFFzJ5EsKbBWZriAcubN,"Family Matters","Family Matters","Drake",2024-05-03,456933,72,true,,2025-07-06T00:52:15Z,"rap","OVO/Republic",0.527,0.492,1,-9.774,1,0.279,0.0047,0,0.306,0.234,164.005,4
spotify:track:3eh51r6rFWAlGQRlHx9QnQ,"Push Ups","Push Ups","Drake",2024-04-19,232774,73,true,,2025-07-06T00:52:15Z,"rap","OVO/Republic",0.598,0.696,2,-4.789,1,0.112,0.0153,0,0.219,0.209,91.057,4
spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS,"act ii: date @ 8 (feat. Drake) - remix","act ii: date @ 8 (feat. Drake) [remix]","4batz;Drake",2024-03-08,231338,71,true,,2025-07-06T00:52:15Z,"rap","4batz / OVO Sound",0.55,0.545,0,-9.304,1,0.163,0.318,0,0.0608,0.412,102.469,4
