Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0pqnGHJpmpxLKifKRmU6WP,"Believer","Evolve","Imagine Dragons",2017-06-23,204346,88,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
spotify:track:5qaEfEh1AtSdrdrByCP7qR,"Demons","Night Visions","Imagine Dragons",2012-09-04,177506,85,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.5,0.71,3,-3.015,1,0.0339,0.19,0.00025,0.269,0.419,89.929,4
spotify:track:2RSHsoi04658QL5xgQVov3,"Bad Liar","Origins (Deluxe)","Imagine Dragons",2018-11-09,260773,82,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.307,0.637,3,-6.993,1,0.0569,0.0732,0,0.368,0.0805,88.693,4
spotify:track:54ipXppHLA8U4yqpOFTUhr,"Bones","Mercury - Acts 1 & 2","Imagine Dragons",2022-07-01,165264,82,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.772,0.75,5,-3.67,0,0.0455,0.0201,0,0.074,0.587,114.061,4
spotify:track:1zB4vmk8tFRmM9UULNzbLB,"Thunder","Evolve","Imagine Dragons",2017-06-23,187146,86,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.604,0.822,0,-4.833,1,0.0438,0.00672,0.134,0.147,0.288,167.997,4
spotify:track:62yJjFtgkhUrXktIoSjgP2,"Radioactive","Night Visions","Imagine Dragons",2012-09-04,186813,81,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.448,0.784,9,-3.686,1,0.0625,0.0999,0.000108,0.668,0.237,136.239,4
spotify:track:2FY7b99s15jUprqC0M5NCT,"Natural","Origins (Deluxe)","Imagine Dragons",2018-11-09,189466,82,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.704,0.611,2,-6.112,1,0.041,0.217,0,0.0812,0.22,99.994,4
spotify:track:3CIyK1V4JEJkg02E4EJnDl,"Enemy (with JID) - from the series Arcane League of Legends","Mercury - Acts 1 & 2","Imagine Dragons;JID;Arcane;League of Legends",2022-07-01,173381,80,false,,1970-01-01T00:00:00Z,"score","Kid Ina Korner / Interscope",0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,4
spotify:track:6Qn5zhYkTa37e91HC1D7lb,"Whatever It Takes","Evolve","Imagine Dragons",2017-06-23,201240,84,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.672,0.655,10,-5.021,0,0.031,0.0362,0,0.117,0.555,134.948,4
spotify:track:7MXlTgQeo3IVlMpLnZuhxc,"It's Time","Night Visions","Imagine Dragons",2012-09-04,240306,77,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.656,0.884,2,-4.748,1,0.0372,0.016,0,0.144,0.858,105.009,4
spotify:track:6Tvzf3VEi16JMhAgOwdt2y,"Birds","Origins (Deluxe)","Imagine Dragons",2018-11-09,219440,75,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.649,0.516,1,-7.428,0,0.0297,0.0146,0.00000156,0.145,0.35,119.997,4
spotify:track:6TEftSkmWdTm1EpThnwqh6,"Wrecked","Mercury - Acts 1 & 2","Imagine Dragons",2022-07-01,244004,74,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.625,0.562,0,-5.828,0,0.0289,0.149,0.0000167,0.109,0.229,93.998,4
spotify:track:0fsEFwLSJTSHSawhe864Cp,"Shots - Broiler Remix","Smoke + Mirrors (Deluxe)","Imagine Dragons;Broiler",2015-05-11,191000,74,false,,1970-01-01T00:00:00Z,"norwegian pop,russelåter","Kid Ina Korner / Interscope",0.735,0.784,11,-7.128,0,0.0332,0.449,0.154,0.105,0.582,120.012,4
spotify:track:4n7nwDqrdx3qmJvEACOMrN,"Take Me to the Beach (feat. Ado)","Take Me to the Beach (feat. Ado)","Imagine Dragons;Ado",2024-12-16,167066,73,false,,1970-01-01T00:00:00Z,"j-pop,anime,vocaloid,j-rock","KIDinaKORNER/Interscope Records",0.793,0.703,0,-4.996,0,0.0762,0.0317,0,0.137,0.899,104.96,4
spotify:track:213x4gsFDm04hSqIUkg88w,"On Top Of The World","Night Visions","Imagine Dragons",2012-09-04,192280,77,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.63,0.924,0,-5.589,1,0.145,0.0841,0.00000356,0.084,0.763,100.045,4
spotify:track:7sA2SKTo1QbTSSYn5YvJC4,"Sharks","Mercury - Acts 1 & 2","Imagine Dragons",2022-07-01,190883,74,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.927,0.642,10,-4.466,0,0.0657,0.00791,0.0000362,0.279,0.901,123.969,4
spotify:track:1y3bE5i57eUm3hfLAc7h08,"Walking The Wire","Evolve","Imagine Dragons",2017-06-23,232906,72,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.54,0.763,4,-5.337,1,0.0373,0.0161,0,0.0941,0.151,99.929,4
spotify:track:5REMa10O4aA2mLtYyflWxs,"Stars Will Align","Stars Will Align","Kygo;Imagine Dragons",2024-09-27,234366,70,false,,1970-01-01T00:00:00Z,"tropical house","Kygo",0.601,0.75,1,-6.33,1,0.0305,0.451,0.0000945,0.0559,0.146,111.984,4
