Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5RYLa5P4qweEAKq5U1gdcK,"A Kind Of Magic - Remastered 2011","A Kind Of Magic (2011 Remaster)","Queen",1986-06-02,264253,73,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.67,0.776,9,-5.874,1,0.0356,0.0184,0.00294,0.128,0.703,130.128,4
spotify:track:5T8EDUDqKcs6OSOwEsfqG7,"Don't Stop Me Now - Remastered 2011","Jazz (2011 Remaster)","Queen",1978-11-10,209413,85,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,4
spotify:track:2fuCquhmrzHpu5xcA1ci9x,"Under Pressure - Remastered 2011","Hot Space (2011 Remaster)","Queen;David Bowie",1982-05-03,248440,84,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock,art rock","EMI",0.671,0.712,2,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,4
spotify:track:5vdp5UmvTsnMEMESIF2Ym7,"Another One Bites The Dust - Remastered 2011","The Game (2011 Remaster)","Queen",1980-06-27,214653,83,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,4
spotify:track:4u7EnebtmKWzUH433cf5Qv,"Bohemian Rhapsody - Remastered 2011","A Night At The Opera (2011 Remaster)","Queen",1975-11-21,354320,83,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.411,0.404,0,-9.928,0,0.0511,0.271,0,0.3,0.226,71.068,4
spotify:track:4pbJqGIASGPr0ZpGpnWkDn,"We Will Rock You - Remastered 2011","News Of The World (2011 Remaster)","Queen",1977-10-28,122066,79,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.692,0.497,2,-7.316,1,0.119,0.676,0,0.259,0.475,81.308,4
spotify:track:1nQRg9q9uwALGzouOX5OyQ,"Radio Ga Ga - Remastered 2011","The Works (2011 Remaster)","Queen",1984-02-27,348226,77,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.744,0.502,5,-7.719,1,0.0359,0.183,0.000228,0.189,0.66,112.344,4
spotify:track:6xdLJrVj4vIXwhuG8TMopk,"Crazy Little Thing Called Love - Remastered 2011","The Game (2011 Remaster)","Queen",1980-06-27,163373,79,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.599,0.761,0,-6.887,1,0.0421,0.713,0.00000474,0.349,0.712,77.015,4
spotify:track:4rDbp1vnvEhieiccprPMdI,"Somebody To Love - Remastered 2011","A Day At The Races (Deluxe Edition 2011 Remaster)","Queen",1976-12-10,296480,77,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.406,0.698,8,-7.024,1,0.0624,0.186,0,0.233,0.333,109.266,3
spotify:track:2AkmdLbVKS1steeZdy8H1l,"I Want To Break Free - Single Remix","The Works (Deluxe Edition 2011 Remaster)","Queen",1984-02-27,258013,75,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.795,0.435,4,-8.927,1,0.0324,0.0841,0.00026,0.0763,0.596,108.95,4
spotify:track:4cIPLtg1avt2Jm3ne9S1zy,"Killer Queen - Remastered 2011","Sheer Heart Attack (Deluxe Edition 2011 Remaster)","Queen",1974-11-08,179600,76,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.535,0.651,10,-6.326,1,0.0544,0.391,0,0.133,0.612,117.218,4
spotify:track:1lCRw5FEZ1gPDNPzy1K4zW,"We Are The Champions - Remastered 2011","News Of The World (2011 Remaster)","Queen",1977-10-28,179200,76,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.268,0.459,10,-6.94,1,0.0346,0.378,0,0.118,0.175,64.177,4
spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd,"Love Of My Life - Remastered 2011","A Night At The Opera (Deluxe Edition 2011 Remaster)","Queen",1975-11-21,217386,73,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.328,0.179,5,-11.589,1,0.0299,0.933,0.00000554,0.115,0.256,154.803,4
spotify:track:7nhWtCc3v6Vem80gYPlppQ,"Cool Cat - Remastered 2011","Hot Space (2011 Remaster)","Queen",1982-05-03,209106,72,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.818,0.4,9,-9.927,1,0.11,0.302,0.00241,0.18,0.838,73.76,4
spotify:track:5n6RDaGFSN88oRWuGtYAIN,"The Show Must Go On - Remastered 2011","Innuendo (2011 Remaster)","Queen",1991-02-05,277826,72,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.426,0.687,11,-6.926,0,0.0329,0.409,0,0.112,0.189,84.141,4
spotify:track:6IAVxNFi1W88UhDeyvOsdo,"Fat Bottomed Girls - 2011 Remaster","Jazz (2011 Remaster)","Queen",1978-11-10,255600,68,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.332,0.683,2,-7.679,1,0.0491,0.0322,0.00000651,0.342,0.419,88.522,4
spotify:track:4vhVDkSx9RSb2k6mWFMYNI,"You're My Best Friend - Remastered 2011","A Night At The Opera (2011 Remaster)","Queen",1975-11-21,170786,68,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.51,0.76,0,-6.995,1,0.0411,0.148,0.0116,0.0706,0.55,118.839,4
spotify:track:1gBNoqhVLbIMuBQmXKmyLj,"I Want It All - Single Version","The Miracle (Collector's Edition)","Queen",2022-11-18,241586,68,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.222,0.832,11,-5.698,0,0.0623,0.0275,0.00000157,0.347,0.374,92.484,4
spotify:track:3INsYP1Y8GG4qJvBsKCdXC,"Don't Stop Me Now - ...Revisited","Bohemian Rhapsody (The Original Soundtrack)","Queen",2018-10-19,217824,68,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.465,0.917,5,-6.335,1,0.237,0.0152,0.0187,0.286,0.403,155.02,4
spotify:track:1n7xFAY4xoPeqRvrkzAtsw,"Good Old-Fashioned Lover Boy - Remastered 2011","A Day At The Races (Deluxe Edition 2011 Remaster)","Queen",1976-12-10,173173,69,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.543,0.461,3,-6.724,1,0.0302,0.577,0,0.0563,0.385,96.803,4
spotify:track:0W1uTK6I97CbjFKAVtRGfK,"Too Much Love Will Kill You - Remastered 2011","Made In Heaven (2011 Remaster)","Queen",1995-11-06,259213,64,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.385,0.395,7,-7.602,1,0.0313,0.58,0.0000631,0.159,0.21,72.933,4
spotify:track:3SGP8It5WDnCONyApJKRTJ,"Who Wants To Live Forever - Remastered 2011","Greatest Hits II (Remastered)","Queen",1991-10-28,295333,67,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.182,0.388,4,-8.672,0,0.0324,0.544,0.00134,0.114,0.0392,139.276,4
spotify:track:0YwBZKT8JE4U5TwmYE9BV9,"Radio Ga Ga - Live Aid","Bohemian Rhapsody (The Original Soundtrack)","Queen",2018-10-19,245680,64,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.405,0.935,5,-6.668,1,0.0862,0.0139,0,0.955,0.393,118.816,4
spotify:track:5js1JJOAkR5KwlifBpvHMN,"These Are The Days Of Our Lives - 2011 Remaster","Innuendo (2011 Remaster)","Queen",1991-02-05,255040,61,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.689,0.4,0,-9.63,1,0.0299,0.372,0.000137,0.0605,0.559,112.64,4
spotify:track:3EGlnkJGcwz73rT0oE0X1X,"Friends Will Be Friends - Remastered 2011","A Kind Of Magic (2011 Remaster)","Queen",1986-06-02,246906,62,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.447,0.531,7,-7.721,1,0.0269,0.0377,0.0000128,0.336,0.339,75.051,3
spotify:track:4zguEJ2UaLe4zbEIDWqiVP,"Hammer To Fall - Remastered 2011","Greatest Hits II (2011 Remaster)","Queen",1991-10-28,218320,65,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.428,0.787,9,-4.998,1,0.0849,0.315,0.0000203,0.124,0.523,128.582,4
spotify:track:1kn8Jj0i9IwyO3yDgDyUSR,"Somebody to Love","Ladies & Gentlemen","George Michael;Queen",1998-11-09,318866,61,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","Epic",0.333,0.863,7,-6.918,1,0.0515,0.0518,0,0.972,0.384,110.162,1
spotify:track:1pBFEy8cz0Fq4Pru0c4awd,"Save Me - Remastered 2011","The Game (2011 Remaster)","Queen",1980-06-27,229920,60,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.507,0.452,7,-6.8,1,0.0269,0.359,0,0.109,0.322,81.632,3
spotify:track:5CTAcf8aS0a0sIsDwQRF9C,"Bicycle Race - Remastered 2011","Jazz (2011 Remaster)","Queen",1978-11-10,180813,61,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.463,0.671,3,-6.438,1,0.0683,0.0626,0,0.0947,0.633,84.28,4
spotify:track:5Nuxdf0f5PpaeaPm4jrhiE,"Breakthru - Remastered 2011","The Miracle (2011 Remaster)","Queen",1989-05-22,248386,58,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.569,0.864,5,-5.697,1,0.0862,0.0614,0.00955,0.353,0.318,90.08,4
spotify:track:34MoKBRdC9JDjcL4b4X1Ic,"It's A Hard Life - Remastered 2011","The Works (2011 Remaster)","Queen",1984-02-27,246973,58,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.42,0.599,3,-6.188,1,0.0291,0.422,0,0.159,0.299,82.336,4
spotify:track:0BzhS74ByIVlyz8BedHaYi,"Innuendo - Remastered 2011","Innuendo (2011 Remaster)","Queen",1991-02-05,393026,59,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.346,0.728,1,-5.747,1,0.0451,0.187,0.00379,0.344,0.174,74.939,4
spotify:track:7DtdhIJlSSOaAFNk4JdXCb,"I Was Born To Love You - 2011 Remaster","Made In Heaven (Deluxe Edition 2011 Remaster)","Queen",1995-11-06,289813,58,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.449,0.908,8,-6.131,1,0.0853,0.0833,0,0.0971,0.495,139.083,4
spotify:track:5p6xhgQCwzX0G9PadMU9GA,"Play The Game - Remastered 2011","The Game (2011 Remaster)","Queen",1980-06-27,212533,58,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.242,0.7,5,-5.772,1,0.0346,0.341,0,0.122,0.273,156.706,4
spotify:track:6Fl9MoM9BDk6vwbHqBBZeK,"Ay-Oh - Live Aid","Bohemian Rhapsody (The Original Soundtrack)","Queen",2018-10-19,41454,56,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.289,0.872,2,-10.914,1,0.326,0.881,0.112,0.976,0.462,94.2,4
spotify:track:65NTcXUtOb27NHKQ4fAcw0,"'39 - Remastered 2011","A Night At The Opera (Deluxe Edition 2011 Remaster)","Queen",1975-11-21,210800,57,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.523,0.571,8,-9.686,1,0.0273,0.0271,0,0.111,0.371,101.626,4
spotify:track:1IhLUUzMxDDJ9pzfT95exy,"Seven Seas Of Rhye - Remastered 2011","Queen II (Deluxe Edition 2011 Remaster)","Queen",1974-03-08,168973,57,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.317,0.896,2,-6.089,1,0.104,0.123,0.0168,0.253,0.421,126.899,4
