Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:61mWefnWQOLf90gepjOCb3,"Duality","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,252613,84,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4
spotify:track:3RAFcUBrCNaboRXoP3S5t1,"Psychosocial","All Hope Is Gone (10th Anniversary)","Slipknot",2008-08-20,284120,81,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.568,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,4
spotify:track:15DLl1r2zi07Ssq5RT1yT0,"Wait and Bleed","Slipknot","Slipknot",1999,147840,77,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.382,0.996,7,-4.119,1,0.104,0.00208,0,0.417,0.327,93.345,4
spotify:track:5mpUKTdskZea0gStWzeHUZ,"Unsainted","We Are Not Your Kind","Slipknot",2019-08-09,260773,74,true,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.427,0.946,7,-2.188,1,0.0469,0.000118,0.0253,0.0604,0.237,101.305,4
spotify:track:6wqJeItl3Vc3az4ZicSQAB,"Before I Forget","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,278600,80,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.291,0.974,6,-2.997,0,0.171,0.0177,0.00000544,0.886,0.348,134.724,4
spotify:track:3GiJq4AQK7324mfIQbpiTf,"Custer",".5: The Gray Chapter (Special Edition)","Slipknot",2014-10-15,254466,76,true,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.407,0.98,7,-1.58,1,0.107,0.00174,0.000112,0.119,0.537,131.066,4
spotify:track:2vPZ4Lklyu75zBR3SgbFNI,"Snuff","All Hope Is Gone (10th Anniversary)","Slipknot",2008-08-20,276146,73,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.544,0.69,6,-5.723,0,0.0425,0.012,0.0095,0.0615,0.219,123.962,4
spotify:track:56fiFTRrSiHHH3gBeaTg2P,"Nero Forte","We Are Not Your Kind","Slipknot",2019-08-09,315177,74,true,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.336,0.978,7,-2.358,1,0.0846,0.000437,0.000525,0.138,0.496,129.842,4
spotify:track:0O7lENhqOySbsL743G7PqD,"Vermilion, Pt. 2","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,224320,71,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.589,0.442,4,-8.517,1,0.0291,0.334,0.000424,0.0987,0.0904,122.688,3
spotify:track:5hheGdf1cb4rK0FNiedCfK,"The Devil in I",".5: The Gray Chapter (Special Edition)","Slipknot",2014-10-15,342821,75,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.398,0.939,9,-2.865,0,0.0648,0.00591,0.000881,0.357,0.235,92.027,4
