Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2DlHlPMa4M17kufBvI2lEN,"Chop Suey!","Toxicity","System Of A Down",2001-09-04,210240,87,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4
spotify:track:1VNWaY3uNfoeWqb5U8x2QX,"Lonely Day","Hypnotize","System Of A Down",2005-11-22,167906,85,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.47,0.796,8,-3.277,0,0.0336,0.362,0.0000011,0.133,0.215,113.108,3
spotify:track:0EYOdF5FCkgOJJla8DI2Md,"B.Y.O.B.","Mezmerize","System Of A Down",2005-05-17,255466,81,true,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.538,0.981,1,-2.688,0,0.14,0.00662,0,0.219,0.711,101.414,4
spotify:track:3RgDvs9Jpvn3kUuaTek1R5,"I-E-A-I-A-I-O","Steal This Album!","System Of A Down",2002-11-26,188600,77,true,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.626,0.792,0,-2.734,1,0.0721,0.000126,0.022,0.438,0.433,133.212,4
spotify:track:0snQkGI5qnAmohLE7jTsTn,"Toxicity","Toxicity","System Of A Down",2001-09-04,218933,86,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,3
spotify:track:6oO7WMjD6kEvCITLbVj0mu,"Hypnotize","Hypnotize","System Of A Down",2005-11-22,189440,75,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.274,0.92,6,-4.096,1,0.0489,0.0303,0.000412,0.115,0.0397,154.016,4
spotify:track:41pOIT2t1rvr2Trg1HQChZ,"Radio/Video","Mezmerize","System Of A Down",2005-05-17,249226,74,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.358,0.921,6,-2.467,0,0.0695,0.171,0.00000764,0.358,0.476,139.256,4
spotify:track:7jDhsoXLKVsKi3fk3s4M4Z,"Sugar","System Of A Down (Bonus Pack)","System Of A Down",1998,153800,73,true,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American",0.451,0.889,1,-2.693,1,0.261,0.00167,0.00215,0.258,0.586,131.073,4
spotify:track:4e9eGQYsOiBcftrWXwsVco,"Aerials","Toxicity","System Of A Down",2001-09-04,235053,85,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,4
spotify:track:1ez4uWPnJwYufNhYTLVsJr,"Soldier Side","Hypnotize","System Of A Down",2005-11-22,220266,69,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.373,0.818,1,-1.691,0,0.0352,0.264,0.00000242,0.119,0.176,76.474,4
spotify:track:249Z7XT6mf8B2zuI0RaeS0,"Violent Pornography","Mezmerize","System Of A Down",2005-05-17,211333,72,true,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.459,0.958,6,-2.333,1,0.0877,0.0283,0,0.108,0.586,142.707,4
spotify:track:0Xmbtw7NhNiDnL4BWy5wDh,"Innervision","Steal This Album!","System Of A Down",2002-11-26,153773,68,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.445,0.953,5,-2.267,0,0.099,0.000201,0.0244,0.357,0.233,120.013,4
spotify:track:6gCVA6ja6g0foIsWv0RuSZ,"ATWA","Toxicity","System Of A Down",2001-09-04,176200,74,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.376,0.787,5,-4.731,0,0.0394,0.00378,0,0.548,0.371,87.102,4
spotify:track:5uMTA9SIe0sE4dnHHSHaYz,"Vicinity Of Obscenity","Hypnotize","System Of A Down",2005-11-22,171800,71,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.546,0.957,1,-3.189,1,0.164,0.0533,0.00000337,0.683,0.514,109.775,4
spotify:track:6y2DHyCYf6azhUfXmnuH6w,"Question!","Mezmerize","System Of A Down",2005-05-17,200600,70,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.207,0.973,4,-3.21,0,0.185,0.00083,0.0158,0.318,0.364,180.683,4
