Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1jgTiNob5cVyXeJ3WgX5bL,"Elizabeth Taylor","The Life of a Showgirl","Taylor Swift",2025-10-03,208291,83,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.623,0.627,2,-6.685,1,0.0448,0.36,0,0.116,0.565,81.995,4
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,"Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,89,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
spotify:track:3euZKF0hmGxQ6h2JHHY4iu,"Opalite","The Life of a Showgirl","Taylor Swift",2025-10-03,235355,76,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.806,0.821,4,-5.097,0,0.0373,0.0809,0,0.0707,0.774,124.997,4
spotify:track:0ug5NqcwcFR2xrfTkc7k8e,"Style","1989 (Deluxe)","Taylor Swift",2014-01-01,231000,85,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,4
spotify:track:31TXxq8gfgYyrYClnYY48m,"The Fate of Ophelia","The Life of a Showgirl","Taylor Swift",2025-10-03,226073,83,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.728,0.606,5,-5.211,1,0.0283,0.281,0,0.101,0.536,123.966,4
spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,"Blank Space","1989 (Deluxe)","Taylor Swift",2014-01-01,231826,85,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,4
spotify:track:4R2kfaDFhslZEMJqAFNpdd,"cardigan","folklore","Taylor Swift",2020-07-24,239560,86,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4
spotify:track:1dGr1c8CrMLDpV6mPbImSI,"Lover","Lover","Taylor Swift",2019-08-23,221306,85,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.359,0.543,7,-7.582,1,0.0919,0.492,0.0000158,0.118,0.453,68.534,4
spotify:track:3CeCwYWvdfXbZLXFhBrbnf,"Love Story (Taylor’s Version)","Love Story (Taylor’s Version)","Taylor Swift",2021-02-12,235766,78,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.626,0.79,2,-4.302,1,0.0311,0.135,0.00000397,0.0989,0.416,119.082,4
spotify:track:72jCZdH0Lhg93z6Z4hBjgj,"I Knew You Were Trouble.","Red","Taylor Swift",2012-10-22,217973,73,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.622,0.469,3,-6.798,0,0.0363,0.00454,0.00000225,0.0398,0.679,77.019,4
spotify:track:0cqRj7pUJDkTCEsJkx8snD,"Shake It Off","1989 (Deluxe)","Taylor Swift",2014-01-01,219200,83,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078,4
spotify:track:2y5aJvzXhHPA94U5GFAcXe,"I Don’t Wanna Live Forever (Fifty Shades Darker)","Fifty Shades Darker (Original Motion Picture Soundtrack)","ZAYN;Taylor Swift",2017-02-10,245653,72,false,,2026-03-06T05:00:06Z,"","Fifty Shades Darker",0.735,0.443,0,-8.432,1,0.0556,0.0601,0.0000191,0.213,0.107,117.968,4
spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Fortnight (feat. Post Malone)","THE TORTURED POETS DEPARTMENT","Taylor Swift;Post Malone",2024-04-18,228965,83,false,,2026-03-06T05:00:06Z,"","Taylor Swift",0.504,0.386,11,-10.976,1,0.0308,0.502,0.0000153,0.0961,0.281,192.004,4
