Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7iN1s7xHE4ifF5povM6A48,"Let It Be - Remastered 2009","Let It Be (Remastered)","The Beatles",1970-05-08,243026,81,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,143.462,4
spotify:track:2EqlS6tkEnglzr7tkKAAYD,"Come Together - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,259946,80,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.53,0.376,9,-11.913,0,0.04,0.0304,0.247,0.0926,0.188,164.775,4
spotify:track:6dGnYIeXmHdcikdzNNDMm2,"Here Comes The Sun - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,185733,85,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.177,4
spotify:track:3KfbEIOC7YIv90FIfNSZpo,"In My Life - Remastered 2009","Rubber Soul (Remastered 2009)","The Beatles",1965-12-03,146333,79,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.688,0.435,9,-11.359,1,0.0323,0.449,0,0.113,0.435,103.239,4
spotify:track:5jgFfDIR6FR0gvlA56Nakr,"Blackbird - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,138386,80,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.686,0.127,7,-14.361,1,0.0342,0.754,0.0000141,0.0573,0.372,93.699,4
spotify:track:3BQHpFgAp4l80e1XslIjNI,"Yesterday - Remastered 2009","Help! (Remastered)","The Beatles",1965-08-06,125666,78,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.524,4
spotify:track:0pNeVovbiZHkulpGeOx1Gj,"Something - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,182293,78,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.406,0.338,0,-10.872,1,0.0303,0.195,0.00000257,0.138,0.379,132.875,4
spotify:track:5ZBeML7Lf3FMEVviTyvi8l,"Twist And Shout - Remastered 2009","Please Please Me (Remastered)","The Beatles",1963-03-22,155226,77,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.482,0.849,2,-9.198,1,0.0452,0.641,0.00000774,0.0414,0.937,124.631,4
spotify:track:3evG0BIqEFMMP7lVJh1cSf,"Don't Let Me Down - Remastered 2009","The Beatles 1967 - 1970 (Remastered)","The Beatles",1973-04-02,215733,77,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.591,0.289,4,-11.049,1,0.026,0.568,0.000777,0.0928,0.733,76.391,4
spotify:track:65vdMBskhx3akkG9vQlSH1,"And I Love Her - Remastered 2009","A Hard Day's Night (Remastered)","The Beatles",1964-07-10,149693,75,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.767,0.331,1,-10.777,0,0.0337,0.64,0,0.0681,0.636,113.312,4
spotify:track:1gFNm7cXfG1vSMcxPpSxec,"Ob-La-Di, Ob-La-Da - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,188960,73,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.818,0.728,10,-8.331,1,0.0314,0.232,0.0642,0.251,0.975,113.059,4
spotify:track:01SfTM5nfCou5gQL70r6gs,"Golden Slumbers - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,91760,71,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.418,0.152,0,-12.126,1,0.0277,0.326,0.0034,0.113,0.239,80.591,4
spotify:track:1H7gMYGykdtwZOV6s1N0by,"Norwegian Wood (This Bird Has Flown) - Remastered 2009","Rubber Soul (Remastered 2009)","The Beatles",1965-12-03,124693,71,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.425,0.369,4,-11.876,1,0.0379,0.183,0.00126,0.112,0.65,176.625,3
spotify:track:7DD7eSuYSC5xk2ArU62esN,"Help! - Remastered 2009","Help! (Remastered)","The Beatles",1965-08-06,139560,72,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.534,0.725,6,-7.576,0,0.0333,0.188,0,0.0994,0.767,94.963,4
spotify:track:389QX9Q1eUOEZ19vtzzI9O,"While My Guitar Gently Weeps - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,285000,74,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115,4
spotify:track:3VbGCXWRiouAq8VyMYN2MI,"Love Me Do - Remastered 2009","Please Please Me (Remastered)","The Beatles",1963-03-22,141693,71,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.52,0.829,0,-6.228,1,0.0806,0.386,0.000062,0.227,0.744,147.997,4
spotify:track:2B4Y9u4ERAFiMo13XPJyGP,"Here, There And Everywhere - Remastered 2009","Revolver (Remastered)","The Beatles",1966-08-05,144880,70,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.29,0.247,7,-12.125,1,0.0383,0.921,0.00565,0.0917,0.36,165.361,4
spotify:track:2mxByJWOajjiVsLWjNXvDJ,"Oh! Darling - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,207240,72,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.422,0.656,4,-8.412,1,0.0397,0.0126,0.0288,0.268,0.55,173.941,3
spotify:track:09x9v1o51dbqi5H0u7UGfp,"I Will - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,105933,70,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.631,0.387,5,-11.529,1,0.0262,0.742,0.000406,0.0822,0.832,103.11,4
spotify:track:1eT2CjXwFXNx6oY5ydvzKU,"Hey Jude","Love","The Beatles",2006-11-17,238854,74,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.462,0.632,5,-7.438,1,0.0248,0.091,0,0.397,0.585,74.268,4
spotify:track:5GjPQ0eI7AgmOnADn1EO6Q,"Eleanor Rigby - Remastered 2009","Revolver (Remastered)","The Beatles",1966-08-05,126533,72,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.581,0.28,4,-9.091,0,0.0381,0.936,0.0000156,0.305,0.813,137.831,4
spotify:track:4joiWvli4qJVEW6qZV2i2J,"All My Loving - Remastered 2009","With The Beatles (Remastered)","The Beatles",1963-11-22,127853,70,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.416,0.563,1,-8.724,0,0.0298,0.207,0,0.343,0.9,77.56,4
spotify:track:5Qe7NHxeLAn8KoLTNLSdwe,"I Want To Hold Your Hand - Remastered 2009","The Beatles 1962 - 1966 (Remastered)","The Beatles",1973-04-01,146720,70,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.496,0.703,7,-6.905,1,0.0377,0.525,0.00000212,0.305,0.936,130.915,4
spotify:track:5J2CHimS7dWYMImCHkEFaJ,"A Hard Day's Night - Remastered 2009","A Hard Day's Night (Remastered)","The Beatles",1964-07-10,154200,70,false,,1970-01-01T00:00:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.59,0.805,0,-6.481,1,0.0371,0.137,0,0.0996,0.797,138.514,4
