Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3ERa3mEeOnrh2Mc47qM6T1,"Halo","I AM...SASHA FIERCE","Beyoncé",2008-11-14,261640,68,false,,2024-02-09T13:18:47Z,"","Music World Music/Columbia",0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,4
spotify:track:38zsOOcu31XbbYj9BIPUF1,"Your Song","Elton John","Elton John",1970-04-10,241786,81,false,,2024-02-09T13:18:47Z,"","UMC (Universal Music Catalogue)",0.552,0.315,3,-11.028,1,0.0299,0.828,0.00000552,0.101,0.324,128.187,4
spotify:track:273QnyCvJB65rScHJ1nPZb,"Make You Feel My Love","19","Adele",2008-01-27,212040,76,false,,2024-02-09T13:18:47Z,"soft pop","XL Recordings",0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,3
spotify:track:3XVBdLihbNbxUwZosxcGuJ,"If I Ain't Got You","The Diary Of Alicia Keys","Alicia Keys",2003-12-02,228706,85,false,,2024-02-09T13:18:47Z,"r&b,neo soul","J Records",0.609,0.444,7,-9.129,1,0.106,0.603,0.00000686,0.104,0.166,118.402,3
spotify:track:4eHbdreAnSOrDDsFfc4Fpm,"I Will Always Love You","The Bodyguard - Original Soundtrack Album","Whitney Houston",1992-11-17,271093,81,false,,2024-02-09T13:18:47Z,"","Arista",0.332,0.214,4,-12.518,1,0.0349,0.845,0.00000562,0.0839,0.11,67.531,4
spotify:track:2ACjOtICHXrAlP3ijVMSvb,"Unchained Melody","Rock N' Roll Legends","The Righteous Brothers",2008-01-01,215853,60,false,,2024-02-09T13:18:47Z,"","Universal Music Group International",0.349,0.326,0,-10.749,1,0.0286,0.512,0.00144,0.665,0.297,98.888,3
spotify:track:34gCuhDGsG4bRPIf9bb02f,"Thinking out Loud","x (Deluxe Edition)","Ed Sheeran",2014-06-21,281560,86,false,,2024-02-09T13:18:47Z,"soft pop","Atlantic Records UK",0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,4
spotify:track:00l9787imUuRzkCGQEgaRK,"It's All Coming Back to Me Now","Love Again (Soundtrack from the Motion Picture)","Céline Dion",2023-05-12,349006,55,false,,2024-02-09T13:18:47Z,"variété française","Columbia",0.354,0.6,0,-7.18,1,0.0588,0.314,0,0.107,0.261,174.39,4
spotify:track:3U4isOIWM3VvDubwSI3y7a,"All of Me","Love In The Future (Expanded Edition)","John Legend",2013-08-30,269556,87,false,,2024-02-09T13:18:47Z,"soft pop,neo soul","G.O.O.D. Music/Columbia",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
spotify:track:47Slg6LuqLaX0VodpSCvPt,"Just the Way You Are","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,220734,83,false,,2024-02-09T13:18:47Z,"","Elektra (NEK)",0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,4
spotify:track:6z5Yh7kOKeLjqIsNdokIpU,"a thousand years","The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack)","Christina Perri",2011-11-04,285120,68,false,,2024-02-09T13:18:47Z,"soft pop","Chop Shop/Atlantic",0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,3
spotify:track:3SdTKo2uVsxFblQjpScoHy,"Stand By Me","Don't Play That Song (Mono)","Ben E. King",1962-08-20,180055,80,false,,2024-02-09T13:18:47Z,"doo-wop","Rhino Atlantic",0.65,0.306,9,-9.443,1,0.0393,0.57,0.00000707,0.0707,0.605,118.068,4
spotify:track:4Hhv2vrOTy89HFRcjU3QOx,"At Last","At Last!","Etta James",1960,179693,77,false,,2024-02-09T13:18:47Z,"soul,soul blues,blues,vocal jazz","Geffen*",0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3
spotify:track:3fqwjXwUGN6vbzIwvyFMhx,"Tennessee Whiskey","Traveller","Chris Stapleton",2015-05-04,293293,86,false,,2024-02-09T13:18:47Z,"country,outlaw country","Mercury Nashville",0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,4
spotify:track:5TAf4lnZCZTLlZHNZMLFLi,"I Try","On How Life Is","Macy Gray",1999-07-03,239440,75,false,,2024-02-09T13:18:47Z,"","Epic",0.593,0.642,2,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,4
spotify:track:63xdwScd1Ai1GigAwQxE8y,"Let's Stay Together","Let's Stay Together","Al Green",1972,199396,78,false,,2024-02-09T13:18:47Z,"soul,classic soul,motown,soul blues","Fat Possum",0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,4
spotify:track:0HKD13PLq2WicViBBhSrOl,"Out Of Reach","Rise","GABRIELLE",2001-01-01,196986,69,false,,2024-02-09T13:18:47Z,"","Universal-Island Records Ltd.",0.51,0.48,11,-6.567,1,0.0452,0.503,0,0.106,0.496,182.862,4
spotify:track:1EzrEOXmMH3G43AXT1y7pA,"I'm Yours","We Sing. We Dance. We Steal Things.","Jason Mraz",2008-05-12,242946,78,false,,2024-02-09T13:18:47Z,"soft pop,acoustic pop","Atlantic Records/ATG",0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
spotify:track:745H5CctFr12Mo7cqa1BMH,"My Girl","The Temptations Sing Smokey","The Temptations",1965-03-22,165000,81,false,,2024-02-09T13:18:47Z,"motown,classic soul,soul","UNI/MOTOWN",0.574,0.418,0,-10.739,1,0.0345,0.636,0,0.0961,0.692,104.57,4
spotify:track:1dGr1c8CrMLDpV6mPbImSI,"Lover","Lover","Taylor Swift",2019-08-23,221306,85,false,,2024-02-09T13:18:47Z,"","Taylor Swift",0.359,0.543,7,-7.582,1,0.0919,0.492,0.0000158,0.118,0.453,68.534,4
spotify:track:1wK6fC3r5fGJ7N4U8R0nOY,"This Year's Love","White Ladder (2020 Remaster)","David Gray",1998,245533,70,false,,2024-02-09T13:18:47Z,"","Bella Figura Music Ltd.",0.33,0.238,8,-7.789,1,0.0291,0.66,0.0000773,0.113,0.21,166.085,3
