Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5yvVYFDUpbnjcnRBgjwTzM,"Dracula - JENNIE Remix","Dracula (Remix)","Tame Impala;JENNIE",2026-02-06,209720,96,true,,2026-02-20T05:00:30Z,"neo-psychedelic,indie,k-pop","Columbia",0.662,0.786,3,-3.254,0,0.0665,0.0247,0,0.875,0.761,114.972,4
spotify:track:5BZsQlgw21vDOAjoqkNgKb,"DAISIES","SWAG","Justin Bieber",2025-07-11,176453,95,false,,2025-07-11T04:00:32Z,"","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",0.802,0.384,8,-8.906,1,0.054,0.715,0.000686,0.108,0.482,110.153,4
spotify:track:6gkbtMtioHgtyGjrMel6ei,"drop dead","drop dead","Olivia Rodrigo",2026-04-17,224998,94,false,,2026-04-17T04:03:31Z,"","Olivia Rodrigo PS",0.581,0.735,8,-5.613,1,0.0417,0.222,0.0000238,0.228,0.678,130.211,4
spotify:track:1DwscornXpj8fmOmYVlqZt,"Stateside + Zara Larsson","Fancy Some More?","PinkPantheress;Zara Larsson",2025-10-10,184761,97,false,,2026-01-02T05:00:14Z,"bedroom pop","Warner Records",0.676,0.664,6,-5.919,1,0.0864,0.0725,0.0000565,0.26,0.847,123.455,4
spotify:track:5y2ijHECwFYWqcAHKTZgzD,"Risk It All","The Romantic","Bruno Mars",2026-02-27,204068,96,false,,2026-02-27T05:00:32Z,"","Atlantic Records",0.401,0.347,2,-9.892,1,0.0442,0.495,0,0.0563,0.267,171.804,4
spotify:track:7yNf9YjeO5JXUE3JEBgnYc,"Babydoll","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,97960,100,false,,2026-03-13T04:00:55Z,"","Columbia",0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,4
spotify:track:1qbmS6ep2hbBRaEZFpn7BX,"Man I Need","Man I Need","Olivia Dean",2025-08-15,184000,97,false,,2025-08-22T04:01:28Z,"pop soul","PLG - Capitol",0.808,0.593,1,-7.27,1,0.0714,0.488,0.000451,0.0933,0.688,119.008,4
spotify:track:55lijDD6OAjLFFUHU9tcDm,"WHERE IS MY HUSBAND!","WHERE IS MY HUSBAND!","RAYE",2025-09-19,197142,92,false,,2025-09-26T04:00:25Z,"","Human Re Sources",0.39,0.781,8,-7.04,1,0.0918,0.0599,0,0.14,0.628,115.939,4
spotify:track:3yWuTOYDztXjZxdE2cIRUa,"Opalite","The Life of a Showgirl","Taylor Swift",2025-10-03,235355,92,false,,2025-10-10T04:00:49Z,"","Taylor Swift",0.806,0.819,4,-5.033,0,0.0384,0.0784,0,0.0371,0.802,124.994,4
spotify:track:3iU2qsthCTo5EeTE03l3Si,"Doors","The Great Divide","Noah Kahan",2026-04-24,231086,83,true,,2026-04-24T04:02:55Z,"","Mercury Records",0.599,0.64,11,-8.996,0,0.0524,0.0487,0.0000929,0.0942,0.665,164.01,4
spotify:track:65DbTqJKhbwqYbZ1Okr0rc,"Choosin' Texas","Choosin' Texas","Ella Langley",2025-10-17,232226,92,false,,2025-11-28T05:00:23Z,"country","SAWGOD/Columbia",0.683,0.78,1,-4.74,1,0.031,0.00939,0,0.194,0.486,112.027,4
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,97,false,,2026-01-09T05:00:47Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:3oTuTpF1F3A7rEC6RKsMRz,"Raindance (feat. Tems)","The Boy Who Played the Harp","Dave;Tems",2025-10-23,219743,96,false,,2025-10-31T04:00:40Z,"grime,uk grime,uk drill,drill,afrobeats,afro r&b,alté,afrobeat","Neighbourhood",0.796,0.741,1,-6.815,1,0.0789,0.236,0.0619,0.103,0.249,107,4
spotify:track:3sK8wGT43QFpWrvNQsrQya,"DtMF","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,237117,97,true,,2026-02-06T05:00:40Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
spotify:track:6sGIMrtIzQjdzNndVxe397,"So Easy (To Fall In Love)","The Art of Loving","Olivia Dean",2025-09-26,169000,97,false,,2025-10-17T04:00:55Z,"pop soul","PLG - Capitol",0.749,0.633,3,-5.917,1,0.0373,0.665,0,0.0817,0.572,139.898,4
spotify:track:5IMpnpD0tQVcqWlVIgtAtV,"iloveitiloveitiloveit","iloveitiloveitiloveit","Bella Kay",2026-01-11,183237,94,true,,2026-02-20T05:00:30Z,"","2026 Bella Kay",0.615,0.327,6,-8.13,0,0.0332,0.735,0.0000309,0.112,0.382,143.198,4
spotify:track:0bxPRWprUVpQK0UFcddkrA,"Folded","Folded","Kehlani",2025-06-11,238120,88,false,,2025-08-08T04:00:56Z,"","TSNMI / Atlantic",0.572,0.598,1,-7.189,1,0.0564,0.295,0,0.12,0.498,135.578,4
spotify:track:7gtG45ieyQzKtNKobfLd49,"American Girls","Kiss All The Time. Disco, Occasionally.","Harry Styles",2026-03-06,213440,93,false,,2026-03-06T05:00:25Z,"","Columbia",0.584,0.659,1,-6.838,1,0.0381,0.0128,0.0000839,0.0776,0.288,101.4,4
spotify:track:37UCSVSqiPGdR1DijOFyYY,"Midnight Sun","Midnight Sun","Zara Larsson",2025-06-13,189898,84,false,,2026-01-09T05:00:47Z,"","Sommer House/Epic",0.693,0.855,9,-4.834,1,0.115,0.0283,0.00000241,0.0884,0.496,150.909,4
spotify:track:2gYTC8DsplN3RNdpdBcCOQ,"Die On This Hill","Die On This Hill","SIENNA SPIRO",2025-10-10,217008,93,false,,2025-11-28T05:00:23Z,"","Capitol Records",0.523,0.429,5,-4.642,0,0.0288,0.76,0.00000427,0.349,0.247,82.457,4
spotify:track:7tICCrK3CcyRFKza7yrR0z,"Homewrecker","Homewrecker","sombr",2026-02-05,209066,94,false,,2026-02-06T05:00:40Z,"","Warner Records",0.459,0.917,1,-2.517,1,0.0531,0.0457,0,0.165,0.528,99.992,4
spotify:track:68lbSrXDORS51pmyjZv712,"SWIM","ARIRANG","BTS",2026-03-20,159007,99,false,,2026-03-20T04:01:00Z,"k-pop","BIGHIT MUSIC",0.531,0.706,6,-5.487,0,0.0638,0.153,0,0.117,0.157,93.811,4
spotify:track:12bYYQaLqHliSXvRIYlq8G,"I Just Might","I Just Might","Bruno Mars",2026-01-09,212973,90,false,,2026-01-09T05:00:47Z,"","Atlantic Records",0.786,0.713,5,-6.193,1,0.0327,0.0541,0,0.133,0.876,102.997,4
spotify:track:7MZHqgTVTnN6xZGYAcEEAf,"Rein Me In (with Olivia Dean)","Rein Me In (with Olivia Dean)","Sam Fender;Olivia Dean",2025-06-20,339410,87,true,,2026-03-06T05:00:25Z,"pop soul","Polydor Records",0.506,0.813,1,-5.639,0,0.0375,0.0491,0.0000671,0.3,0.578,124.008,4
spotify:track:31TXxq8gfgYyrYClnYY48m,"The Fate of Ophelia","The Life of a Showgirl","Taylor Swift",2025-10-03,226073,83,false,,2025-10-03T04:00:55Z,"","Taylor Swift",0.728,0.606,5,-5.211,1,0.0283,0.281,0,0.101,0.536,123.966,4
spotify:track:3jucj0h0tajme6rUEadmWN,"SHE DID IT AGAIN (feat. Zara Larsson)","SHE DID IT AGAIN (feat. Zara Larsson)","Tyla;Zara Larsson",2026-04-17,213241,84,false,,2026-04-24T04:02:55Z,"afrobeats","FAX Records/Epic",0.768,0.685,11,-4.487,0,0.069,0.237,0.0000104,0.098,0.659,97.24,4
spotify:track:36idurZmYRjJ56KQ8JD9bN,"Boston","Boston","STELLA LEFTY",2026-03-27,170859,84,false,,2026-04-24T04:02:55Z,"","Atlantic Outpost",0.802,0.584,0,-6.862,1,0.0348,0.645,0,0.101,0.608,125.985,4
spotify:track:7ogpGbKc4Io6NCU6ydxXwZ,"FEVER DREAM","FEVER DREAM","Alex Warren",2026-02-26,153430,92,false,,2026-03-04T00:20:51Z,"","Atlantic Records",0.77,0.778,10,-5.546,0,0.046,0.139,0,0.307,0.762,107.97,4
spotify:track:4WFgvKVfEhb3IUAFGrutTR,"Love Me Not","Bird's Eye","Ravyn Lenae",2024-08-09,213466,91,false,,2025-03-14T04:00:26Z,"alternative r&b,indie soul","Atlantic Records",0.779,0.731,0,-6.176,1,0.0306,0.296,0,0.128,0.814,114.001,4
spotify:track:4KmkJjHTNlr1jFY56Lyz4E,"PINKY UP","PINKY UP","KATSEYE",2026-04-09,131437,90,true,,2026-04-10T04:03:28Z,"k-pop","HYBE/Geffen",0.844,0.876,10,-4.76,0,0.0954,0.00885,0.0000548,0.13,0.579,151.997,4
spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,"Golden","KPop Demon Hunters (Soundtrack from the Netflix Film)","HUNTR/X;EJAE;AUDREY NUNA;REI AMI;KPop Demon Hunters Cast",2025-06-20,194607,94,false,,2025-06-27T04:04:42Z,"k-pop","K-Pop Demon Hunters",0.651,0.686,4,-4.371,0,0.0616,0.0966,0,0.185,0.104,122.715,3
spotify:track:4qW3BbQAwZsrnu8a3ZRdyT,"Self Aware","Self Aware","Temper City",2026-02-15,180740,90,false,,2026-04-03T04:03:12Z,"","Temper City under exclusive license to Thirty Knots",0.612,0.643,9,-3.562,0,0.0313,0.169,0,0.0796,0.398,162.007,4
spotify:track:0eAuGrXyGFYwur9ARUe7LJ,"Earrings","Sweet Boy","Malcolm Todd",2024-04-05,151500,92,false,,2026-04-03T04:03:12Z,"","Columbia",0.498,0.505,10,-8.644,0,0.0524,0.233,0.000028,0.365,0.547,79.877,4
spotify:track:5aVBxVa0kz9uzv0F4gwdEn,"I Can't Love You Anymore","I Can't Love You Anymore","Ella Langley;Morgan Wallen",2026-04-24,228836,79,false,,2026-04-24T04:02:55Z,"country","SAWGOD/Columbia",0.622,0.732,10,-5.182,0,0.0306,0.0661,0,0.34,0.529,118.945,4
spotify:track:42UBPzRMh5yyz0EDPr6fr1,"Manchild","Manchild","Sabrina Carpenter",2025-06-05,213645,87,true,,2025-06-06T04:00:33Z,"pop","Island Records",0.731,0.685,7,-5.087,1,0.0572,0.122,0,0.317,0.811,123.01,4
spotify:track:2LSmH4vxyRhkJ2pPqcmkXw,"NOBLE","NOBLE","F3miii",2025-12-26,185806,84,false,,2026-05-01T04:03:54Z,"","Robots & Humans",0.54,0.705,5,-7.056,1,0.0779,0.0741,0,0.658,0.533,93.02,4
spotify:track:0GuyH5MDxEx54wg1Rhe5on,"Mr. Know It All","Mr. Know It All","Teddy Swims",2026-04-10,198425,72,false,,2026-04-17T04:03:31Z,"","Warner Records",0.718,0.786,11,-3.925,0,0.0469,0.0739,0.00018,0.0713,0.523,126.036,4
spotify:track:4cpHvqL4dvporE8JlQwkec,"Potential","Potential","sombr",2026-04-16,242517,84,false,,2026-04-17T04:03:31Z,"","Warner Records",0.563,0.89,5,-3.428,1,0.0326,0.00193,0.00000305,0.103,0.412,107.991,4
spotify:track:36OpC3NK7kQzcOo8qiCHaA,"The Visitor","The Visitor","SIENNA SPIRO",2026-03-13,228908,87,false,,2026-03-20T04:01:00Z,"","Capitol Records",0.386,0.214,10,-7.787,0,0.0334,0.869,0.0000307,0.105,0.174,127.188,4
spotify:track:5ViLKrbyL3HD6wsq3AB9eI,"White Keys","White Keys","Dominic Fike",2025-11-14,144101,94,false,,2026-02-27T05:00:32Z,"","Columbia",0.712,0.547,11,-8.514,0,0.194,0.788,0.0000181,0.15,0.841,81.978,4
spotify:track:3cZajhyr8LmtPfHZ9296tj,"No Broke Boys","No Broke Boys","Disco Lines;Tinashe",2025-06-06,163994,92,true,,2025-07-04T04:00:36Z,"stutter house,alternative r&b","Nice Life/Atlantic",0.767,0.834,1,-7.415,0,0.0315,0.34,0.111,0.0901,0.962,130.999,4
spotify:track:7rAr4Ai9dysthnfNRRC55Q,"Bring Your Love","Bring Your Love","Madonna;Sabrina Carpenter",2026-04-30,216400,0,false,,2026-05-01T04:03:54Z,"pop","Warner Records",0.678,0.823,10,-7.839,0,0.0704,0.0936,0.0145,0.1,0.758,121.016,4
spotify:track:7B3BwNecBhKvNwSMOOl7Gk,"Fame is a Gun","Addison","Addison Rae",2025-06-06,183237,88,false,,2026-01-16T05:00:44Z,"","Columbia",0.692,0.399,3,-7.325,0,0.035,0.165,0.00109,0.1,0.411,137.976,4
spotify:track:4QR40LqFAbMdabh4AoZJGZ,"Bad Angel (with LISA)","Bad Angel (with LISA)","Anyma;LISA",2026-04-08,153281,84,true,,2026-04-24T04:02:55Z,"melodic techno,melodic house,techno,stutter house,k-pop","Anyma/Interscope Records",0.737,0.766,5,-5.444,0,0.0284,0.00386,0.0711,0.339,0.321,128.06,4
spotify:track:2SaWT781xr3hHLdbVt5DB7,"Freakin’ Out","Freakin’ Out","Dexter and The Moonrocks",2026-03-11,217897,87,false,,2026-04-17T04:03:31Z,"","Who's Dexter Enterprises / Severance Records / Big Loud Rock",0.554,0.819,7,-4.789,1,0.0415,0.176,0.00000354,0.198,0.107,124.026,4
spotify:track:6DH13QYXK7lKkYHSU88N48,"Who Knows","Son Of Spergy","Daniel Caesar",2025-10-24,226283,90,false,,2025-11-21T05:00:43Z,"","Republic Records",0.674,0.257,5,-14.948,0,0.0355,0.756,0.0000138,0.362,0.391,120.902,4
spotify:track:3B4cjvGlPvyBLNG3AzEgkZ,"E85","OCTANE","Don Toliver",2026-01-30,153181,92,true,,2026-02-20T05:00:30Z,"","CactusJack/Donnway/ATL",0.556,0.714,11,-4.43,0,0.0418,0.0463,0,0.822,0.332,131.992,4
spotify:track:0kav2DxndmxlsiT3pqXZjG,"POP DAT THANG","POP DAT THANG","DaBaby",2026-01-23,138251,81,true,,2026-04-10T04:03:28Z,"","South Coast Music Group/Interscope Records",0.883,0.735,5,-7.638,0,0.165,0.00674,0.0000564,0.184,0.374,139.04,4
spotify:track:2fCwv2ppU5nTRTckomIGsd,"REDRED","REDRED","CORTIS",2026-04-20,163001,85,false,,2026-04-24T04:02:55Z,"k-pop","Republic Records – CORTIS",0.697,0.601,0,-5.606,1,0.037,0.0265,0.0000464,0.256,0.913,120.978,4
spotify:track:1tz7RZirwiuaJw2p0jbdHb,"KOKO","POR SI MAÑANA NO ESTOY","Omar Courtz",2026-02-19,195146,90,true,,2026-04-10T04:03:28Z,"","Rimas Entertainment LLC.",0.819,0.799,8,-2.092,1,0.111,0.182,0.00086,0.699,0.48,98.034,4
