Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7,"Beauty And A Beat","Believe","Justin Bieber;Nicki Minaj",2012-01-01,227986,95,false,,2026-04-30T14:11:34Z,"","RBMG/Def Jam",0.601,0.843,0,-4.87,1,0.0593,0.000704,0.0000527,0.0681,0.534,128.002,4
spotify:track:68lbSrXDORS51pmyjZv712,"SWIM","ARIRANG","BTS",2026-03-20,159007,99,false,,2026-04-30T14:11:34Z,"k-pop","BIGHIT MUSIC",0.531,0.706,6,-5.487,0,0.0638,0.153,0,0.117,0.157,93.811,4
spotify:track:7yNf9YjeO5JXUE3JEBgnYc,"Babydoll","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,97960,100,false,,2026-04-30T14:11:34Z,"","Columbia",0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,4
spotify:track:7J1uxwnxfQLu4APicE5Rnj,"Billie Jean","Thriller","Michael Jackson",1982-11-30,293802,91,false,,2026-04-30T14:11:34Z,"","Epic",0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,4
spotify:track:7Hc6qcJG4NtyZgbNvQyd8U,"drop dead","drop dead (taken that eurostar to france video)","Olivia Rodrigo",2026-04-16,224998,80,false,,2026-04-30T14:11:34Z,"","Olivia Rodrigo PS",0.582,0.735,8,-5.76,1,0.0422,0.233,0.0000179,0.226,0.627,130.193,4
spotify:track:5BZsQlgw21vDOAjoqkNgKb,"DAISIES","SWAG","Justin Bieber",2025-07-11,176453,95,false,,2026-04-30T14:11:34Z,"","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",0.802,0.384,8,-8.906,1,0.054,0.715,0.000686,0.108,0.482,110.153,4
spotify:track:5y2ijHECwFYWqcAHKTZgzD,"Risk It All","The Romantic","Bruno Mars",2026-02-27,204068,96,false,,2026-04-30T14:11:34Z,"","Atlantic Records",0.401,0.347,2,-9.892,1,0.0442,0.495,0,0.0563,0.267,171.804,4
spotify:track:5yvVYFDUpbnjcnRBgjwTzM,"Dracula - JENNIE Remix","Dracula (Remix)","Tame Impala;JENNIE",2026-02-06,209720,96,true,,2026-04-30T14:11:34Z,"neo-psychedelic,indie,k-pop","Columbia",0.662,0.786,3,-3.254,0,0.0665,0.0247,0,0.875,0.761,114.972,4
spotify:track:3BovdzfaX4jb5KFQwoPfAw,"Beat It","Thriller","Michael Jackson",1982-11-30,258296,89,false,,2026-04-30T14:11:34Z,"","Epic",0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,4
spotify:track:0mYXRQpTGjaLJt1l9MY4ps,"Man I Need","The Art of Loving","Olivia Dean",2025-09-26,184000,79,false,,2026-04-30T14:11:34Z,"pop soul","PLG - Capitol",0.572,0.58,1,-7.285,1,0.132,0.462,0.000268,0.0999,0.716,119.009,4
spotify:track:7qjZnBKE73H4Oxkopwulqe,"back to friends","I Barely Know Her","sombr",2025-08-22,199032,93,false,,2026-04-30T14:11:34Z,"","Warner Records",0.436,0.723,1,-2.291,1,0.0301,0.0000937,0.0000882,0.0929,0.235,92.855,4
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,97,false,,2026-04-30T14:11:34Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:1DwscornXpj8fmOmYVlqZt,"Stateside + Zara Larsson","Fancy Some More?","PinkPantheress;Zara Larsson",2025-10-10,184761,97,false,,2026-04-30T14:11:34Z,"bedroom pop","Warner Records",0.676,0.664,6,-5.919,1,0.0864,0.0725,0.0000565,0.26,0.847,123.455,4
spotify:track:3oTuTpF1F3A7rEC6RKsMRz,"Raindance (feat. Tems)","The Boy Who Played the Harp","Dave;Tems",2025-10-23,219743,96,false,,2026-04-30T14:11:34Z,"grime,uk grime,uk drill,drill,afrobeats,afro r&b,alté,afrobeat","Neighbourhood",0.796,0.741,1,-6.815,1,0.0789,0.236,0.0619,0.103,0.249,107,4
spotify:track:6sGIMrtIzQjdzNndVxe397,"So Easy (To Fall In Love)","The Art of Loving","Olivia Dean",2025-09-26,169000,97,false,,2026-04-30T14:11:34Z,"pop soul","PLG - Capitol",0.749,0.633,3,-5.917,1,0.0373,0.665,0,0.0817,0.572,139.898,4
spotify:track:53iuhJlwXhSER5J2IYYv1W,"The Fate of Ophelia","The Life of a Showgirl","Taylor Swift",2025-10-03,226073,96,false,,2026-04-30T14:11:34Z,"","Taylor Swift",0.726,0.598,5,-5.179,1,0.0291,0.265,0,0.102,0.519,123.921,4
spotify:track:3sK8wGT43QFpWrvNQsrQya,"DtMF","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,237117,97,true,,2026-04-30T14:11:34Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
spotify:track:4DPdJvSMB6hmrjgC5eC85d,"Iris","Stay with You","The Goo Goo Dolls",1998,289533,67,false,,2026-04-30T14:11:34Z,"","Warner Records",0.315,0.715,11,-8.072,0,0.0362,0.00125,0.00000797,0.0942,0.497,155.925,3
spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,"Ordinary","You'll Be Alright, Kid (Chapter 1)","Alex Warren",2024-09-26,186964,92,false,,2026-04-30T14:11:34Z,"","Atlantic Records",0.368,0.694,2,-6.141,1,0.06,0.704,0.00000659,0.055,0.391,168.115,3
spotify:track:4WFgvKVfEhb3IUAFGrutTR,"Love Me Not","Bird's Eye","Ravyn Lenae",2024-08-09,213466,91,false,,2026-04-30T14:11:34Z,"alternative r&b,indie soul","Atlantic Records",0.779,0.731,0,-6.176,1,0.0306,0.296,0,0.128,0.814,114.001,4
spotify:track:3JsydWaf2Ev4ehaLUjj3SY,"Confident","Journals","Justin Bieber;Chance the Rapper",2014-05-13,248133,93,false,,2026-04-30T14:11:34Z,"","RBMG/Def Jam",0.741,0.565,5,-5.448,0,0.108,0.114,0,0.205,0.892,134.122,4
