Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:190jyVPHYjAqEaOGmMzdyk,"Beauty And A Beat","Believe (Deluxe Edition)","Justin Bieber;Nicki Minaj",2012-06-15,227986,91,false,,2026-04-24T04:03:04Z,"","RBMG/Def Jam",0.602,0.843,0,-4.831,1,0.0593,0.000688,0.0000527,0.0682,0.526,128.003,4
spotify:track:7yNf9YjeO5JXUE3JEBgnYc,"Babydoll","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,97960,100,false,,2026-03-13T04:00:17Z,"","Columbia",0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,4
spotify:track:1DwscornXpj8fmOmYVlqZt,"Stateside + Zara Larsson","Fancy Some More?","PinkPantheress;Zara Larsson",2025-10-10,184761,97,false,,2026-03-27T04:00:23Z,"bedroom pop","Warner Records",0.676,0.664,6,-5.919,1,0.0864,0.0725,0.0000565,0.26,0.847,123.455,4
spotify:track:0IjdXwCEhZR7JIwq6Za8j5,"Jane!","Jane!","The Long Faces",2018-07-03,186986,87,false,,2026-04-24T04:03:04Z,"","North West Sound Recordings",0.483,0.542,1,-10.928,0,0.0365,0.0213,0.00000129,0.105,0.744,146.099,4
spotify:track:3sK8wGT43QFpWrvNQsrQya,"DtMF","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,237117,97,true,,2026-02-20T05:00:54Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
spotify:track:3oTuTpF1F3A7rEC6RKsMRz,"Raindance (feat. Tems)","The Boy Who Played the Harp","Dave;Tems",2025-10-23,219743,96,false,,2026-03-20T04:01:02Z,"grime,uk grime,uk drill,drill,afrobeats,afro r&b,alté,afrobeat","Neighbourhood",0.796,0.741,1,-6.815,1,0.0789,0.236,0.0619,0.103,0.249,107,4
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,97,false,,2026-01-02T05:00:15Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:5qpPsI80C5AMiZ9v9wYD6n,"Satellites","Satellites","Kevin Gates",2013-03-12,221233,72,true,,2026-02-20T05:00:54Z,"","Duetti",0.708,0.904,10,-4.051,0,0.135,0.0442,0,0.173,0.767,140.029,4
spotify:track:1rIKgCH4H52lrvDcz50hS8,"Lush Life","So Good","Zara Larsson",2017-03-17,200646,94,false,,2026-02-06T19:34:50Z,"","Epic/Record Company TEN",0.694,0.712,7,-3.923,0,0.046,0.132,0,0.211,0.799,98.023,4
spotify:track:2SaWT781xr3hHLdbVt5DB7,"Freakin’ Out","Freakin’ Out","Dexter and The Moonrocks",2026-03-11,217897,87,false,,2026-04-10T04:03:23Z,"","Who's Dexter Enterprises / Severance Records / Big Loud Rock",0.554,0.819,7,-4.789,1,0.0415,0.176,0.00000354,0.198,0.107,124.026,4
spotify:track:4qW3BbQAwZsrnu8a3ZRdyT,"Self Aware","Self Aware","Temper City",2026-02-15,180740,90,false,,2026-03-27T04:00:23Z,"","Temper City under exclusive license to Thirty Knots",0.612,0.643,9,-3.562,0,0.0313,0.169,0,0.0796,0.398,162.007,4
spotify:track:6xV7Be6XEvkSnighmh2Tzj,"Sugar On My Tongue","DON'T TAP THE GLASS","Tyler, The Creator",2025-07-21,153332,84,true,,2025-09-26T04:00:15Z,"","Columbia",0.703,0.501,11,-7.037,1,0.101,0.0327,0,0.193,0.463,126.073,4
spotify:track:0myRViRgmQ3J8izICXEAVO,"I Thought I Saw Your Face Today","Volume One","She & Him",2008-03-18,170333,91,false,,2025-11-14T05:00:41Z,"christmas","Merge Records",0.359,0.551,7,-7.631,1,0.0327,0.33,0.000837,0.298,0.526,158.355,4
spotify:track:6sGIMrtIzQjdzNndVxe397,"So Easy (To Fall In Love)","The Art of Loving","Olivia Dean",2025-09-26,169000,97,false,,2026-02-20T05:00:54Z,"pop soul","PLG - Capitol",0.749,0.633,3,-5.917,1,0.0373,0.665,0,0.0817,0.572,139.898,4
spotify:track:3cZajhyr8LmtPfHZ9296tj,"No Broke Boys","No Broke Boys","Disco Lines;Tinashe",2025-06-06,163994,92,true,,2025-09-26T04:00:15Z,"stutter house,alternative r&b","Nice Life/Atlantic",0.767,0.834,1,-7.415,0,0.0315,0.34,0.111,0.0901,0.962,130.999,4
spotify:track:68lbSrXDORS51pmyjZv712,"SWIM","ARIRANG","BTS",2026-03-20,159007,99,false,,2026-03-27T04:00:23Z,"k-pop","BIGHIT MUSIC",0.531,0.706,6,-5.487,0,0.0638,0.153,0,0.117,0.157,93.811,4
