Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1cg4xD453Wuol9fNsRDbsV,"Starburster","Starburster","Fontaines D.C.",2024-04-17,221450,59,true,,2024-04-18T19:20:27Z,"post-punk","XL Recordings",0.511,0.861,10,-5.677,1,0.0659,0.0656,0.00000186,0.0939,0.366,98.021,4
spotify:track:5mvTURlK49UniKs3I7WK4z,"POP POP POP","TANGK","IDLES",2024-02-16,256573,53,false,,2024-04-18T19:20:27Z,"post-punk,punk","Partisan Records",0.684,0.73,8,-7.93,1,0.0861,0.229,0.0988,0.303,0.179,122.846,4
spotify:track:3lPr8ghNDBLc2uZovNyLs9,"Supermassive Black Hole","Black Holes and Revelations","Muse",2006-06-28,212439,84,false,,2024-04-18T19:20:27Z,"alternative rock,rock","Warner Records",0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120,4
spotify:track:5FVd6KXrgO9B3JPmC8OPst,"Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,89,false,,2024-04-18T19:20:27Z,"indie,garage rock","Domino Recording Co",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
spotify:track:4pt5fDVTg5GhEvEtlz9dKk,"I WANNA BE YOUR SLAVE","Teatro d'ira - Vol. I","Måneskin",2021-03-19,173346,86,true,,2024-04-18T19:20:27Z,"","RCA Records Label",0.75,0.608,1,-4.008,1,0.0387,0.00165,0,0.178,0.958,132.507,4
spotify:track:2kKkl59fY6Cic1CmhvSEZK,"Hayloft","O My Heart","Mother Mother",2008-09-23,181680,73,false,,2024-04-18T19:20:27Z,"","Last Gang",0.527,0.921,9,-2.666,0,0.0734,0.00477,0.000165,0.422,0.447,95.975,4
spotify:track:6qZjm61s6u8Ead9sWxCDro,"Elephant","Lonerism","Tame Impala",2012-01-01,211226,75,false,,2024-04-18T19:20:27Z,"neo-psychedelic,indie","Modular",0.598,0.553,9,-6.742,0,0.0397,0.562,0.157,0.257,0.533,123.075,4
spotify:track:13HPn0OyGLPtJ6iUNiwLYg,"I Like The Way You Die","I Like The Way You Die","Black Honey",2020-10-28,188026,39,false,,2024-04-18T19:20:27Z,"","Foxfive Records",0.546,0.76,9,-6.887,0,0.0399,0.00629,0.0000466,0.0737,0.41,101.936,4
spotify:track:4qRjuJ0yie272bG3JY2EvU,"The Last Dance","The Last Dance","The Mysterines",2024-06-18,270148,29,false,,2024-07-19T14:28:26Z,"indie rock","Virgin Music Central – Fiction Records",0.199,0.858,2,-5.272,1,0.0978,0.000663,0.00000285,0.13,0.194,74.994,4
spotify:track:0OPfxLyd1Uz5JqHPmnUxsP,"Won't Settle","Soft","BONES UK",2024-09-13,246428,41,false,,2024-05-30T23:43:17Z,"","Sumerian Records",0.662,0.532,8,-6.3,1,0.0324,0.000614,0.000134,0.307,0.481,111.999,4
spotify:track:3ZOEytgrvLwQaqXreDs2Jx,"Can't Stop","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,269000,89,false,,2024-04-18T19:20:27Z,"funk rock,alternative rock,rock","Warner Records",0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
spotify:track:6dVT4QtwOiNywe7r4UjDVk,"Vertigo","S.I.D.E.S.","Alice Merton",2022-06-17,186933,47,false,,2024-04-18T19:20:27Z,"","Paper Plane Records International",0.419,0.884,5,-4.29,1,0.0494,0.00102,0.000112,0.267,0.63,134.973,3
spotify:track:0bGImSqDB2ebdeoCidUC8o,"BLACKOUT","GLOW ON","Turnstile",2021-08-27,173279,67,false,,2024-04-18T19:20:27Z,"hardcore punk,hardcore","Roadrunner Records",0.301,0.807,6,-6.258,1,0.0695,0.000881,0.112,0.0849,0.595,84.051,4
spotify:track:0LJDalpISq604gw21RVwIV,"What Went Down","What Went Down","Foals",2015-06-17,300720,34,false,,2024-04-18T19:20:27Z,"indie","Warner Records",0.231,0.919,2,-6.182,0,0.0728,0.00314,0.00451,0.0643,0.131,146.944,4
spotify:track:5ZrE7guVgMc6Vjvri6aZYg,"Leader of the Pack","Leader of the Pack","Wunderhorse",2022-07-14,183466,41,false,,2024-04-18T19:20:27Z,"","Communion Records",0.506,0.967,1,-4.464,0,0.0635,0.0000605,0.195,0.0921,0.592,95.354,4
spotify:track:5PUTXDqo5aGHoGbAhYm5ZT,"This is Our Life","This is Our Life","Des Rocs",2020-12-11,224306,51,false,,2024-04-18T19:20:27Z,"","Des Rocs",0.364,0.877,7,-3.922,1,0.107,0.0011,0.0000116,0.348,0.382,157.675,4
spotify:track:0ZYcKE5lBHfZWyH5hA7B3X,"City Streets","City Streets","George Barnett",2024-02-23,206557,46,false,,2024-04-18T19:20:27Z,"","AntiFragile Music",0.682,0.832,11,-2.627,0,0.0269,0.00124,0.0185,0.176,0.652,121.976,4
