Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0PsFsv5xUyX06ZhIEtFkeA,"End of You","End of You","Poppy;Amy Lee;Courtney LaPlante",2025-09-04,192800,69,false,,2026-04-27T18:28:08Z,"","Sumerian Records",0.484,0.955,10,-3.242,0,0.32,0.00342,0.0000357,0.32,0.324,95.02,4
spotify:track:06jQrdwR5Cby21cZ8hfDPa,"Pray","Pray","Vana",2025-11-20,209250,60,true,,2026-04-27T18:28:08Z,"","Sumerian Records",0.413,0.936,1,-3.717,1,0.183,0.0011,0.00000514,0.22,0.325,159.848,4
spotify:track:6vS5siwSidItcWFXskcpAA,"Our Truth","Karmacode","Lacuna Coil",2006,243106,55,false,,2026-04-27T18:28:08Z,"gothic metal,symphonic metal,gothic rock,metal","Century Media",0.506,0.724,0,-7.086,1,0.0281,0.000114,0.628,0.151,0.0697,102.037,4
spotify:track:0COqiPhxzoWICwFCS4eZcp,"Bring Me To Life","Fallen","Evanescence",2003-03-04,235893,90,false,,2026-04-27T18:28:08Z,"alternative metal","The Bicycle Music Company",0.331,0.943,4,-3.188,0,0.0698,0.00721,0.00000206,0.242,0.296,94.612,4
spotify:track:0RsOUnm1wNpbXxZ8a4abOP,"Amaranth","Dark Passion Play","Nightwish",2007-09-26,231444,65,false,,2026-04-27T18:28:08Z,"symphonic metal,gothic metal,power metal,metal,folk metal,gothic rock","Nuclear Blast",0.558,0.859,2,-3.992,0,0.0421,0.00469,0.00196,0.0831,0.31,127.98,4
spotify:track:7ak5dWy0Vee6yhR5dwQWO5,"My Apocalypse","Doomsday Machine","Arch Enemy",2005-07-13,325586,50,false,,2026-04-27T18:28:08Z,"melodic death metal,metal,death metal,heavy metal","Sony Music/Savage Messiah Music",0.329,0.899,10,-4.921,0,0.0524,0.0000363,0.281,0.105,0.26,117.332,4
spotify:track:5znZ4aN1j49w2Oel8tdmgG,"Brackish","Spit","Kittie",2000-01-11,189706,63,true,,2026-04-27T18:28:08Z,"nu metal,riot grrrl","Vanguard",0.349,0.931,1,-6.016,1,0.0862,0.000291,0.00065,0.104,0.843,142.956,4
spotify:track:7FjRNlmPtWb1ra46t14rUN,"Perfect Soul","Perfect Soul","Spiritbox",2024-11-17,239640,52,false,,2026-04-27T18:28:08Z,"metalcore,djent,metal","Rise Records",0.359,0.966,10,-3.9,0,0.0994,0.0000156,0.0337,0.198,0.289,103.744,4
spotify:track:66iX4HzM7YnmxmUZOSCG2F,"Cry for the Moon (The Embrace That Smothers , Pt. 4)","The Phantom Agony (Expanded Edition)","Epica",2003,406040,57,false,,2026-04-27T18:28:08Z,"symphonic metal,gothic metal,power metal,metal,folk metal,gothic rock","Nuclear Blast",0.446,0.902,2,-5.33,0,0.046,0.00634,0.000345,0.0813,0.302,180.115,4
spotify:track:3UygY7qW2cvG9Llkay6i1i,"Going Under","Fallen","Evanescence",2003-03-04,214946,82,false,,2026-04-27T18:28:08Z,"alternative metal","The Bicycle Music Company",0.37,0.858,11,-4.885,0,0.0545,0.00815,0.0000212,0.229,0.464,175.077,4
spotify:track:7wBKXbleeJQuQDnfKlOOGe,"Darkness Always Wins","Darkness Always Wins","Halestorm",2025-04-22,290309,49,false,,2026-04-27T18:28:08Z,"","Atlantic Records",0.408,0.632,1,-6.074,0,0.0343,0.0784,0.0000785,0.0897,0.0945,170.069,4
spotify:track:4f1vdEOLraUCsdJzlqxIbR,"Duél","Duél","Jinjer",2025-02-07,288000,46,false,,2026-04-27T18:28:08Z,"metal,djent,progressive metal,groove metal,metalcore","Napalm Records Handels GmbH",0.496,0.978,4,-3.479,1,0.0728,0.0000117,0.15,0.418,0.252,95.013,3
