Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Kj2EWpIBnvETsYq4cq0IH,"Big Black Car","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,217466,74,false,,2026-01-13T16:13:09Z,"indie folk,folk,folk pop","Suitcase Town Music",0.6,0.186,3,-15.926,1,0.0317,0.909,0.00102,0.104,0.468,110.044,4
spotify:track:20AC70RUlVz6A6dCcQ5tRS,"Re: Stacks","For Emma, Forever Ago","Bon Iver",2008-02-19,401413,67,false,,2026-01-13T16:13:09Z,"","Jagjaguwar",0.676,0.0812,2,-22.846,1,0.0398,0.979,0.416,0.118,0.314,125.075,4
spotify:track:2dLVXnwdnstcHIRTJMgqsx,"Seed of a Seed","Seed of a Seed","Haley Heynderickx",2024-07-30,164000,56,false,,2026-01-13T16:13:09Z,"","Mama Bird Recording Co.",0.55,0.281,1,-11.215,1,0.057,0.72,0.0761,0.101,0.516,136.678,4
spotify:track:2ZYcvvd4uVCiUcyOROzYg6,"Watercress","Watercress","S. Carey",2025-10-03,228186,55,false,,2026-01-13T16:13:09Z,"indie folk","Jagjaguwar",0.531,0.279,8,-12.875,1,0.0307,0.813,0.0208,0.155,0.377,74.552,4
spotify:track:0DwaOWI1kC2s98qLj0LTDd,"La Lune","Writing of Blues and Yellows (Deluxe Version)","Billie Marten",2016-09-23,187266,61,false,,2026-01-13T16:13:09Z,"","Chess Club/RCA Victor",0.296,0.342,2,-11.879,1,0.0471,0.882,0.000967,0.0748,0.0794,52.001,4
spotify:track:3Tgv4rvWBVwnbmUTlJwzk0,"Do I Wanna Know? - Live At the BBC","Hozier (Special Edition)","Hozier",2014-09-19,257560,77,false,,2026-01-13T16:13:09Z,"","Universal-Island Records Ltd.",0.517,0.206,7,-10.841,1,0.0324,0.897,0.000829,0.12,0.221,137.204,4
spotify:track:0oOY4xChdxmGgpyQrY2FBz,"Jolene","Trouble","Ray LaMontagne",2004-08-15,250866,68,false,,2026-01-13T16:13:09Z,"","Liula Records",0.588,0.142,7,-15.196,1,0.0329,0.863,0.000162,0.0953,0.288,119.656,4
spotify:track:35Tzu0ZfS2YoDNsHfFIR7a,"queen of the season","last night you said you missed me","Hazlett",2025-09-12,199040,67,false,,2026-01-13T16:13:09Z,"indie folk","Nettwerk Music Group",0.612,0.263,8,-11.203,1,0.0291,0.73,0.00293,0.189,0.159,113.905,4
spotify:track:0FjTazWaBSHBVWm2PAGghQ,"Time","Tomb","Angelo De Augustine",2019-01-11,236819,58,false,,2026-01-13T16:13:09Z,"","Asthmatic Kitty",0.488,0.253,2,-12.675,1,0.0387,0.906,0.0107,0.106,0.626,81.674,4
spotify:track:3O8dCkY71H3kKyWBAAorQ2,"Patterns","Patterns in Repeat","Laura Marling",2024-10-25,260509,55,false,,2026-01-13T16:13:09Z,"singer-songwriter,southern gothic,folk,indie folk","Chrysalis Records",0.488,0.216,1,-14.616,1,0.034,0.915,0.428,0.106,0.22,98.362,4
spotify:track:6cqT1guXExDBibebscbGqg,"Prendre soin du beau","Prendre soin du beau","Jessica Charlie",2020-08-07,195030,57,false,,2026-01-13T16:13:09Z,"","Mayk Music",0.688,0.279,0,-7.277,1,0.0355,0.851,0.101,0.0435,0.294,117.56,3
spotify:track:3AJwUDP919kvQ9QcozQPxg,"Yellow","Parachutes","Coldplay",2000-07-10,266773,91,false,,2026-01-13T16:13:09Z,"","Parlophone UK",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
spotify:track:7CoMBpPTwQi2wPT0U0Nr9b,"State Lines","Birthplace","Novo Amor",2018-10-19,208653,75,false,,2026-01-13T16:13:09Z,"ambient folk","AllPoints",0.509,0.31,9,-10.623,1,0.0313,0.959,0.229,0.0963,0.151,137.474,3
spotify:track:1XTY6rA7XQosc0ynkkE9kN,"Black Friday","Black Friday","Tom Odell",2023-09-22,221510,72,false,,2026-01-13T16:13:09Z,"","UROK",0.48,0.199,6,-12.398,1,0.0329,0.931,0.0563,0.0978,0.201,165.476,4
spotify:track:17L0KdnNNbo0NJidlZCIRy,"Confession","Confession","Jacob Alon",2024-11-11,272214,52,true,,2026-01-13T16:13:09Z,"","Universal-Island Records Ltd.",0.512,0.254,1,-15.52,1,0.0314,0.856,0.428,0.116,0.19,144.068,3
spotify:track:5bIgzvxvlefRUCQK9JPocF,"Garden Song","Punisher","Phoebe Bridgers",2020-06-18,219681,64,false,,2026-01-13T16:13:09Z,"","Dead Oceans",0.426,0.274,0,-16.649,1,0.146,0.856,0.00658,0.111,0.169,100.255,4
spotify:track:1lb0KfG9EyfSBsEifTUtXY,"someday i'll get it","someday i'll get it","Alek Olsen",2023-10-26,94750,75,false,,2026-01-13T16:13:09Z,"","Alek Olsen",0.438,0.051,8,-22.44,1,0.0373,0.93,0.916,0.113,0.102,102.711,3
spotify:track:5VYOUBkObeGOnCt30YDTJ3,"People Change","Edges Run","Mipso",2018-04-06,212853,59,false,,2026-01-13T16:13:09Z,"bluegrass,newgrass,americana,folk","MIPSO",0.373,0.276,7,-14.945,1,0.0357,0.883,0.0124,0.122,0.409,79.204,4
spotify:track:0SskmLpG3bX0e2iwFB6cm6,"Pool - NPR Tiny Desk Version","The Baby (5th Anniversary Edition)","Samia",2025-09-05,222499,57,true,,2026-01-13T16:13:09Z,"","Grand Jury Music",0.47,0.077,7,-15.576,1,0.0406,0.342,0.141,0.11,0.118,113.509,4
spotify:track:3hhbDnFUb2bicI2df6VurK,"River","Coming Home (Deluxe)","Leon Bridges",2015-06-23,238560,76,false,,2026-01-13T16:13:09Z,"retro soul","Columbia",0.635,0.184,8,-10.785,1,0.0456,0.665,0,0.146,0.177,128.424,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,87,false,,2026-01-13T16:13:09Z,"","Dead Oceans",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
spotify:track:5phzTzZYuWstrCTZI56Nzo,"Dissociate","Dissociate","Luisa Marion",2025-10-15,194018,51,false,,2026-01-13T16:13:09Z,"","Luisa Marion",0.287,0.196,7,-19.152,0,0.0354,0.95,0.227,0.118,0.167,114.383,4
spotify:track:4IeGLYWTUvuqaLjBWGxix2,"Found","Found","Zach Webb",2022-03-28,311170,61,false,,2026-01-13T16:13:09Z,"christian folk","zach webb",0.232,0.0332,10,-23.396,0,0.0346,0.904,0.00333,0.36,0.0824,80.977,1
spotify:track:14mxkRSXKwq5vsx1xPUdau,"Black Car","Proof Of Life (Deluxe)","Joy Oladokun",2023-10-13,171700,52,false,,2026-01-13T16:13:09Z,"","Joy Oladokun",0.634,0.391,6,-12.829,1,0.0285,0.592,0.000653,0.107,0.251,96.959,4
spotify:track:51zKixiSi77RRWlUyG3Xyf,"Malleable","All For Something","Tiny Habits",2024-05-24,241152,53,false,,2026-01-13T16:13:09Z,"","Mom+Pop Music",0.451,0.328,11,-9.578,1,0.124,0.906,0,0.164,0.201,80.744,3
spotify:track:6LKvzEJQTIm2RrWAMPwQH6,"If We Were Vampires (feat. Wesley Schultz) - Spotify Singles","Spotify Singles","Noah Kahan;Wesley Schultz",2023-05-10,217873,68,false,,2026-01-13T16:13:09Z,"","Mercury Records/Republic Records",0.64,0.212,6,-11.741,1,0.0359,0.902,0,0.101,0.326,98.928,4
spotify:track:5swZvDSi78Znk4rlmwHNnj,"House Song","House Song","Searows",2023-02-02,295675,69,false,,2026-01-13T16:13:09Z,"","Searows",0.283,0.127,2,-18.959,1,0.0416,0.866,0.112,0.0921,0.117,77.827,4
