Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Wms5IftbzNzmrAyXx4A33,"MONTAGEM ALQUIMIA","MONTAGEM ALQUIMIA","h6itam;n7san7os;Mc Menor Do Alvorada",2026-01-16,96004,83,false,,2026-02-13T15:58:36Z,"phonk,brazilian phonk,funk","h6itam x n7san7os",0.821,0.917,0,-1.394,1,0.15,0.209,0.0000675,0.108,0.892,130.065,4
spotify:track:72YttnPRxyHe8zCG50jYhj,"NO BATIDÃO - Slowed","NO BATIDÃO","ZXKAI;slxughter",2025-09-05,107933,87,true,,2025-11-17T15:48:56Z,"phonk,brazilian phonk","ZXKAI",0.642,0.951,2,0.614,1,0.0344,0.083,0,0.179,0.538,108.128,4
spotify:track:7jqxHXlu3Ya7WF7lD7tIXj,"MATADORA","MATADORA","DJ Asul",2025-09-19,88615,83,false,,2026-03-22T01:21:26Z,"phonk,brazilian phonk,funk","INTERTONE",0.697,0.872,10,-0.302,0,0.102,0.165,0.00000303,0.289,0.608,130.226,4
spotify:track:2r2vr5ujMEZN9hJzwwc6Jk,"Montagem Supersonic","Montagem Supersonic","KHAOS;Jmilton;Mc Jajá",2025-07-04,87816,82,true,,2025-08-01T17:05:50Z,"phonk,brazilian phonk,funk","KHAOS",0.568,0.926,0,-4.836,0,0.0532,0.0056,0.046,0.329,0.624,132.031,4
spotify:track:094IjHeVUviN4aBnSXYsuj,"DIA DELÍCIA","DIA DELÍCIA","Nakama;ΣP",2025-04-25,75461,82,true,,2025-05-30T16:13:27Z,"phonk,brazilian phonk,funk","Nakama",0.826,0.743,8,-3.721,1,0.0336,0.366,0.00000306,0.0281,0.541,130.021,4
spotify:track:026OJSwDl3UOP4T8puJXj9,"NO ERA AMOR - Slowed","NO ERA AMOR","DJ Asul",2025-08-26,93066,76,false,,2025-08-29T15:35:59Z,"phonk,brazilian phonk,funk","INTERTONE",0.623,0.909,11,-1.066,1,0.0334,0.124,0.00469,0.131,0.72,115.747,4
spotify:track:2Gs0iF27my40p0dANv2rAg,"MONTAGEM XONADA","MONTAGEM XONADA","MXZI;Dj Samir;DJ Javi26",2025-07-02,75682,84,false,,2025-07-25T18:46:04Z,"phonk,brazilian phonk,funk","Lunar Media",0.524,0.971,6,-1.945,0,0.0504,0.0685,0,0.157,0.718,130.095,4
spotify:track:2UbLtO7CH3jhez0n2T7uDC,"MONTAGEM COMA","MONTAGEM COMA","ANDROMEDA;elysian.",2025-06-06,73480,81,false,,2025-08-01T17:05:50Z,"phonk,brazilian phonk","Elysian Records",0.652,0.872,11,-2.616,1,0.0356,0.000285,0.759,0.117,0.731,120.052,4
spotify:track:11gZL0HigsqfzjTHOpdFjE,"MENTE MÁ","MENTE MÁ","Nakama;Mc Staff",2025-05-16,75302,82,false,,2025-07-14T17:03:16Z,"phonk,brazilian phonk,funk","void",0.8,0.71,3,-2.922,0,0.0346,0.297,0.0902,0.0404,0.965,129.922,4
spotify:track:5ymkm3U65CzrLbij6eerzp,"CLIMA LINDO - SLOWED","CLIMA LINDO","GXMZ;Repsaj",2025-06-06,81995,76,false,,2025-07-25T18:46:04Z,"phonk,brazilian phonk","GXMZ",0.85,0.39,6,-5.309,0,0.0895,0.729,0.202,0.0855,0.569,169.835,4
spotify:track:5R9FQXymzyhxjAYAkdbq5Q,"ACELERADA","ACELERADA","sma$her;MXZI",2025-06-27,61269,82,false,,2025-08-22T16:56:16Z,"phonk,brazilian phonk,funk","Tribal Trap",0.727,0.714,5,-2.734,0,0.0287,0.171,0.0000112,0.0739,0.732,130.084,4
spotify:track:1xKMSHgGIQ26RhDDxmIjan,"MONTAGEM PEGADORA - Slowed","MONTAGEM PEGADORA","Rubikdice;Chilx;WAA",2026-03-13,102048,78,false,,2026-04-17T10:47:02Z,"phonk,drift phonk,brazilian phonk","Sketch Music",0.713,0.953,1,-1.5,1,0.11,0.00105,0.0214,0.0804,0.406,99.986,4
spotify:track:4SN97PWG1WzClH2W08x8dr,"TAKA LA DENTRO","TAKA LA DENTRO","SEKIMANE;shonci;Mc Gw",2026-02-27,89809,79,true,,2026-03-22T01:21:26Z,"phonk,brazilian phonk,funk,rally house,brazilian funk,funk carioca,funk bruxaria,brega funk","Bear Catalogues / Boom.Records / GAMBL",0.818,0.952,8,-0.685,0,0.23,0.168,0.000718,0.359,0.872,180.057,4
spotify:track:7EyTAAgH5jME3tKxbr8W12,"MONTAGEM SANTA FE 2","MONTAGEM SANTA FE 2","qaraqshy;Dj B7 o Piranhão",2025-12-17,105665,77,true,,2026-03-06T14:00:09Z,"phonk,brazilian phonk,funk","INTERTONE / 0to8",0.821,0.976,3,2.225,0,0.0652,0.123,0.000269,0.241,0.964,129.974,4
spotify:track:4lXsvpjLhG7YqEehJFqpKV,"TIKI TIKI - Slowed","TIKI TIKI","QMIIR;SALIMA CHICA",2025-12-12,121739,83,false,,2026-02-06T17:42:53Z,"phonk,brazilian phonk,kizomba","volume100",0.686,0.85,4,-2.753,0,0.0725,0.106,0.00000163,0.512,0.323,137.998,4
spotify:track:49t3uvN9hUNefdvtaD6HBj,"LUNA BALA - Slowed","LUNA BALA","Yb Wasg'ood;Ariis;MC PR",2025-04-18,124110,81,false,,2025-05-14T19:31:19Z,"phonk,brazilian phonk,brega funk,brazilian funk","void",0.72,0.93,7,-1.518,0,0.0342,0.0157,0.878,0.368,0.283,110.071,4
spotify:track:2h4amIvI8Qi2k7IFK3igKZ,"MONTAGEM DOMER - Super Slowed","MONTAGEM DOMER","Paizo;DJ LXILL;DJ FallThox",2026-01-28,87093,77,true,,2026-03-13T13:55:22Z,"phonk,brazilian phonk,funk","void",0.693,0.885,7,-0.455,1,0.0465,0.165,0.00276,0.26,0.396,103.195,4
spotify:track:4CdFhK8D7bn5Qe6wvmuEwH,"Fendi 2","Fendi 2","Rakhim;Khim;ayv1o",2025-10-10,90526,79,false,,2026-01-07T15:55:13Z,"phonk","SilentTrap",0.99,0.539,10,-9.03,1,0.154,0.00187,0,0.102,0.659,113.979,4
spotify:track:2FnkrCrbXJuebXxnVtXiHI,"Vem Vem","Vem Vem","Jmilton;MC Xangai",2025-05-30,83183,77,true,,2025-06-30T15:54:16Z,"phonk,brazilian phonk,funk,funk de bh","Jmilton",0.723,0.987,9,-0.344,1,0.122,0.231,0.0000295,0.144,0.553,129.997,4
spotify:track:4LkkRLP8pldQer1YRrHwkx,"LOS VOLTAJE","LOS VOLTAJE","Sayfalse;Yb Wasg'ood;Ariis",2025-04-11,99285,80,false,,2025-05-02T15:58:53Z,"phonk,brazilian phonk,funk","PCR",0.61,0.938,0,-1.227,0,0.0972,0.00553,0.976,0.658,0.344,115.974,4
spotify:track:5WShZpWdfHKvWonA4ZUJHW,"MONTAGEM TENTA - Slowed","MONTAGEM TENTA","merunes",2026-02-20,93038,73,false,,2026-03-27T16:00:08Z,"phonk,brazilian phonk","PLAYA POSSE",0.699,0.762,11,-7.995,1,0.0463,0.156,0.225,0.416,0.555,103.183,4
spotify:track:4kyDzE3UwJLoT3iImSh9Tj,"FUNK SIGILO - ULTRA SLOWED","FUNK SIGILO","h6itam",2025-03-14,138116,75,true,,2025-07-25T18:46:04Z,"phonk,brazilian phonk,funk","h6itam",0.729,0.935,7,-3.791,0,0.0328,0.247,0.513,0.145,0.649,144.257,4
spotify:track:3ZEUbnmVPwGRhLm28QzXkI,"REVENGE - Super Slowed","REVENGE !","1HXSX;wnorg17",2025-08-04,121846,76,false,,2026-02-06T17:42:53Z,"phonk,brazilian phonk","FUNK 108",0.56,0.933,11,-2.14,0,0.0463,0.00348,0.651,0.341,0.344,122.661,4
spotify:track:57Ju5lrvYBZJvmxKFrtzSt,"envy - slowed","envy","slxughter",2025-07-11,126401,76,true,,2025-09-26T14:24:18Z,"phonk,brazilian phonk","slxughter",0.761,0.705,10,-7.718,1,0.0588,0.514,0.935,0.1,0.265,92.542,4
spotify:track:7livoZ5D5L93Rd1GWzdjQm,"GLORY","GLORY","Ogryzek",2024-05-24,149522,77,false,,2024-07-05T13:50:01Z,"phonk,brazilian phonk","Sketch Music",0.331,0.765,1,-6.789,1,0.0298,0.000421,0.879,0.109,0.0923,171.455,4
