"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"Today’s Top Hits","Editorial","Spotify","Pop, R&B","Mainstream Pop","50","-27533","34424025"
"Top 50 - Global","Charts","Spotify","Pop, Latin","Mainstream Pop, Reggaeton, Indie Pop","50","15209","17039309"
"All Out 2000s","Editorial","Spotify","Pop, Hip Hop, Rock","Mainstream Pop, Contemporary Hip Hop","150","116835","12862750"
"All Out 80s","Editorial","Spotify","Pop","Mainstream Pop","150","27123","11898088"
"Songs to Sing in the Car","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","13861","11258524"
"Beast Mode","Editorial","Spotify","Hip Hop, Electronic, Pop","Contemporary Hip Hop, Dance","150","17248","11038028"
"Chill Hits","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","130","-4776","9104762"
"All Out 90s","Editorial","Spotify","Rock, Pop","Mainstream Pop, Alternative Rock","150","17465","8670492"
"Mega Hit Mix","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","75","43853","8480675"
"This Is BTS","This Is ...","Spotify","Pop","k-pop","321","187146","8038404"
"Mood Booster","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","80","-559","7821898"
"Christmas Hits","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","90","-34154","7797977"
"Soft Pop Hits","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","4133","7796446"
"Songs to Sing in the Shower","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop, Contemporary R&B","200","2195","7589753"
"Top Gaming Tracks","Editorial","Spotify","Pop, Hip Hop, Electronic","N/A","100","-6539","6743612"
"Pop Up","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","10926","6683771"
"Sleep","Editorial","Spotify","Electronic, Pop","Downtempo, Ambient","300","34008","6576575"
"This Is Taylor Swift","This Is ...","Spotify","Pop","Mainstream Pop","85","9906","6396493"
"Happy Hits!","Editorial","Spotify","Pop, Country","Mainstream Pop","100","-207","6343454"
"K-Pop ON! (온)","Editorial","Spotify","Pop","k-pop","50","39775","6102141"
"Hit Rewind","Editorial","Spotify","Pop","Mainstream Pop","100","-6100","6073160"
"All Out 70s","Editorial","Spotify","Rock, Pop","Mainstream Pop, Hard Rock, Pop Rock","150","6265","5865238"
"Disney Hits","Editorial","Spotify","Pop, Classical","Mainstream Pop, Orchestral","72","28148","5720420"
"This Is Ed Sheeran","This Is ...","Spotify","Pop","Mainstream Pop","101","1585","5638128"
"Have a Great Day!","Editorial","Spotify","Rock, Pop","Mainstream Pop, Pop Rock","80","-1784","5259892"
"Hot Hits Philippines","Editorial","Spotify","Pop, R&B","Mainstream Pop, OPM","50","-2308","5066423"
"This Is The Weeknd","This Is ...","Spotify","Pop, Hip Hop","Mainstream Pop, Contemporary Hip Hop, Contemporary R&B","50","6761","4881165"
"my life is a movie","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","100","34702","4872907"
"Workout","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","93","-3281","4739879"
"This Is Billie Eilish","This Is ...","Spotify","Pop","Mainstream Pop, Indie Pop","50","10635","4644679"
"Acoustic Covers","Editorial","Spotify","Pop, Country, Classical","Indie Pop","150","-11446","4458943"
"New Music Friday","Editorial","Spotify","Hip Hop, Pop","N/A","100","0","4227134"
"Viral Hits","Editorial","Spotify","Pop, Hip Hop","Contemporary Hip Hop","50","-5396","4223377"
"This Is Coldplay","This Is ...","Spotify","Rock, Pop, African","Mainstream Pop, Pop Rock","57","2093","4185916"
"big on the internet","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop, Indie Pop","50","-10173","4126359"
"Cardio","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","100","-1579","4116796"
"Your Favorite Coffeehouse","Editorial","Spotify","Pop, Rock","Indie Pop, Folk Rock","146","-2888","4046038"
"Pop Remix","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","75","-5437","4024155"
"Life Sucks","Editorial","Spotify","Pop, R&B","Mainstream Pop, Indie Pop, Contemporary R&B","200","-4078","3953665"
"Chill Tracks","Editorial","Spotify","Electronic, Pop","Dance, House, Deep House","100","-1782","3921601"
"Reggaetón Viejito","Editorial","Spotify","Pop","Reggaeton, Latin Pop","200","24125","3920156"
"Baladas Románticas","Editorial","Spotify","Pop, Hip Hop","Latin Pop, Indie Pop, Pop Rock","100","-7874","3908324"
"Confidence Boost","Editorial","Spotify","Pop","Mainstream Pop, Contemporary R&B","75","0","3896375"
"Acoustic Hits: Oldies but Goodies","Editorial","Spotify","Rock, Pop","Mainstream Pop, Pop Rock","50","-4381","3883640"
"Party Hits","Editorial","Spotify","Hip Hop, Electronic, Pop","Mainstream Pop","100","-11257","3870176"
"This Is Ariana Grande","This Is ...","Spotify","Pop","Mainstream Pop, Contemporary R&B","80","4279","3792390"
"90s Love Songs","Editorial","Spotify","Pop, R&B, Rock","Mainstream Pop, Contemporary R&B","75","6699","3698302"
"Christmas Classics","Editorial","Spotify","Pop, Jazz","Mainstream Pop","68","-8049","3672058"
"Broken Heart","Editorial","Spotify","Pop, Jazz","Mainstream Pop, Indie Pop","100","-256","3645005"
"La Lista Pop","Editorial","Spotify","Latin, Pop","Reggaeton, Latin Pop","50","-1416","3627439"
"Good Vibes","Editorial","Spotify","Pop, Hip Hop, R&B","Mainstream Pop, Contemporary R&B","100","12598","3620063"
"Feelin' Good","Editorial","Spotify","Pop, Jazz, R&B","Mainstream Pop, Retro Soul","150","-3595","3613434"
"Soft Rock","Editorial","Spotify","Rock, Pop","Pop Rock","125","-2305","3576057"
"Relax & Unwind","Editorial","Spotify","Pop, Rock, Country","Indie Pop","150","-9281","3540457"
"80s Hits","Editorial","Spotify","Rock, Pop, R&B","Mainstream Pop, Pop Rock","100","-2116","3537265"
"Verano Forever","Editorial","Spotify","Latin, Hip Hop, Pop","Reggaeton, Latin Pop","100","-16659","3516209"
"Éxitos Argentina","Editorial","Spotify","Latin, Pop, Hip Hop","Trap, Reggaeton, Latin Pop","50","6789","3482224"
"This Is Adele","This Is ...","Spotify","Pop","Mainstream Pop, Soul","39","5384","3443276"
"This Is BLACKPINK","This Is ...","Spotify","Pop","k-pop","72","11579","3401197"
"Guilty Pleasures","Editorial","Spotify","Pop, Rock","Mainstream Pop","150","561","3392025"
"Love Pop","Editorial","Spotify","Pop","Mainstream Pop, Contemporary R&B","100","-5961","3375404"
"Alone Again","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","150","-1437","3317718"
"This Is Justin Bieber","This Is ...","Spotify","Pop","Mainstream Pop","50","8535","3314125"
"Top 50 - USA","Charts","Spotify","Pop, Country, Latin","Indie Pop","50","694","3248434"
"This Is Rihanna","This Is ...","Spotify","Electronic, Pop","Mainstream Pop, Dance, Contemporary R&B","50","6145","3217223"
"Pop Rising","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","3501","3208637"
"All Out 60s","Editorial","Spotify","Rock, R&B, Pop","Mainstream Pop, Soul","150","564","3194692"
"Party Hits 2010s","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance, Contemporary R&B","150","20316","3091217"
"Hot Hits Hindi","Editorial","Spotify","Pop","Indian Pop, Indian Folk","50","34289","3077530"
"This Is Michael Jackson","This Is ...","Spotify","Pop","Mainstream Pop, Contemporary R&B","49","16088","3065281"
"Hot Hits UK","Editorial","Spotify","Pop, Electronic","Mainstream Pop","70","-3508","3037159"
"Canciones del Recuerdo","Editorial","Spotify","Pop","Latin Pop, Other Latin Music","150","-1668","3032687"
"just hits","Editorial","Spotify","Pop, Electronic","Mainstream Pop","100","16930","2992494"
"Latin Pop Classics","Editorial","Spotify","Pop","Latin Pop","100","-646","2938933"
"Throwback Jams","Editorial","Spotify","Hip Hop, R&B, Pop","Mainstream Pop, Contemporary Hip Hop, Contemporary R&B","93","2544","2807431"
"Warm Fuzzy Feeling","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","1413","2805319"
"80s HITS | TOP 100 SONGS ","Indie Curator","Filtr US","Pop","Mainstream Pop, Dance","145","11795","2804999"
"This Is One Direction","This Is ...","Spotify","Pop","Mainstream Pop","50","631","2800099"
"This Is Lana Del Rey","This Is ...","Spotify","Pop, Hip Hop","Mainstream Pop, Indie Pop","50","11034","2775277"
"Deep House - dance music to workout, game & party to by dance fruits","Indie Curator","Fruits Music","Electronic, Pop","Dance, Deep House","136","-5723","2711604"
"Girls' Night","Editorial","Spotify","Pop","Mainstream Pop, Contemporary R&B","80","-1276","2663362"
"young, wild & free","Editorial","Spotify","Pop","Mainstream Pop, Contemporary R&B","100","-2617","2631614"
"80s Love Songs","Editorial","Spotify","Rock, Pop","Mainstream Pop, Pop Rock","75","3100","2603360"
"Power Hour","Editorial","Spotify","Electronic, Pop","Dance","125","347","2599435"
"Women of Pop","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","75","-852","2563328"
"Hot Hits Deutschland","Editorial","Spotify","Pop, Hip Hop, Electronic","Mainstream Pop","50","-7783","2550563"
"This Is Luis Miguel","This Is ...","Spotify","Pop","Latin Pop, Other Latin Music","50","5536","2544971"
"90s HITS | TOP 100 SONGS","Indie Curator","Filtr US","Pop","Mainstream Pop","145","10785","2493856"
"OPM Favorites","Editorial","Spotify","Pop","Indie Pop, OPM, p-pop","50","1316","2487850"
"Happy Beats","Editorial","Spotify","Electronic, Pop","Dance, House","150","8041","2470358"
"Christmas Pop","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","90","-9262","2462510"
"Chill Acoustic Covers","Editorial","Spotify","Pop, Rock","Mainstream Pop, Indie Pop","100","3558","2445892"
"Hot Hits Indonesia","Editorial","Spotify","Pop","Indie Pop, Indonesian Pop","50","9929","2443221"
"90s Acoustic","Editorial","Spotify","Rock, Pop","Mainstream Pop, Alternative Rock","75","1561","2441683"
"Timeless Love Songs","Editorial","Spotify","Pop, R&B, Rock","Mainstream Pop","100","5680","2421851"
"Chill Vibes","Editorial","Spotify","Pop, R&B, Rock","Indie Pop","150","-2469","2409877"
"sad hour","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","150","-1116","2394291"
"This Is Dua Lipa","This Is ...","Spotify","Pop","Mainstream Pop","63","2320","2394182"
"Hits du Moment","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop","50","-1582","2374667"
"Taylor Swift Complete Collection","Indie Curator","Taylor Swift","Pop","Mainstream Pop","416","-4741","2363930"
"Welcome to Premium","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop","60","-1214","2350285"
"Tropical House","Editorial","Spotify","Electronic, Pop","Dance","200","1752","2326577"
"Pop Brasil","Editorial","Spotify","Pop, R&B","Latin Pop, Contemporary R&B","50","14026","2309266"
"Feel-Good Indie Rock","Editorial","Spotify","Rock, Pop","Indie Pop, Indie Rock","150","-192","2308868"
"Acoustic Favorites","Editorial","Spotify","R&B, Pop","Mainstream Pop, Contemporary R&B, Neo Soul","90","-3134","2289967"
"Throwback Thursday","Editorial","Spotify","Pop","Mainstream Pop","50","-1749","2282702"
"The Most Beautiful Songs in the World","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","80","-3021","2282421"
"It's a Hit!","Editorial","Spotify","Pop","Mainstream Pop","50","-3910","2282325"
"Novidades da Semana","Editorial","Spotify","Pop","Mainstream Pop, Hyperpop","89","13310","2261701"
"Make Out Jams","Editorial","Spotify","Pop, R&B","Mainstream Pop, Contemporary R&B","100","12835","2244604"
"Comfort Zone","Editorial","Spotify","Pop","Mainstream Pop","150","4163","2204516"
"Daily Lift","Editorial","Spotify","Pop, Electronic","Mainstream Pop, Indie Pop","100","721","2195404"
"Love Ballads","Editorial","Spotify","Pop, Rock, R&B","Mainstream Pop, Pop Rock","100","3174","2181759"
"goosebumps","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","10905","2153978"
"Run Wild","Editorial","Spotify","Pop","Indie Pop","75","-8187","2152073"
"Acoustic Chill","Editorial","Spotify","Pop, Rock","Indie Pop","125","-4582","2151162"
"Totally Stress Free","Editorial","Spotify","Rock, Pop","Alternative Rock, Indie Pop, Indie Rock","125","-1505","2118454"
"Piano in the Background","Editorial","Spotify","Classical, Electronic, Pop","Classical Crossover, Downtempo","185","-848","2113824"
"teen beats","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop, k-pop","98","5150","2099768"
"Acoustic Throwbacks","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","300","-276","2094545"
"TikTok Songs 2026 | Tik Tok Hits | Viral Hits","Indie Curator","LoudKult","Electronic, Pop","Mainstream Pop, Dance","335","-4248","2079528"
"Tatak Pinoy","Editorial","Spotify","Pop, R&B","Indie Pop, OPM, p-pop","50","611","2075849"
"Summer Party","Editorial","Spotify","Electronic, Pop","Dance, House","100","-3200","2074075"
"Disney Favorites","Editorial","Spotify","Pop, Electronic, Classical","Mainstream Pop, Latin Pop, Other Electronic Music","129","1464","2070832"
"Alternative 80s","Editorial","Spotify","Rock, Pop","Alternative Rock, Pop Rock","80","9948","2062556"
"Top 50 - United Kingdom","Charts","Spotify","Pop","Mainstream Pop","50","-445","2053388"
"This Is Avicii","This Is ...","Spotify","Electronic, Country, Pop","Mainstream Pop, Dance","49","1854","2045512"
"Top 50 - Germany","Charts","Spotify","Pop, Electronic","Mainstream Pop","50","-1877","2043220"
"Dinner with Friends","Editorial","Spotify","Pop, R&B","Mainstream Pop, Indie Pop, Contemporary R&B","100","203100","2030999"
"Afternoon Acoustic","Editorial","Spotify","Pop, Rock, Country","Indie Pop, Americana/Alt Country, Indie Folk","100","-7957","2027482"
"Fiesta! Fiesta! ","Editorial","Spotify","Latin, Pop","Reggaeton","100","597","1994590"
"Sad Indie","Editorial","Spotify","Pop, R&B","Indie Pop","50","1053","1989105"
"Party Hits","Editorial","Spotify","Electronic, Pop","Dance","100","-2527","1985304"
"Hugot","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","50","-4888","1979697"
"Chill Folk","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","100","-4774","1977378"
"This Is Lady Gaga","This Is ...","Spotify","Pop","Mainstream Pop, Indie Pop","50","5262","1977211"
"Pop Romántico","Editorial","Spotify","Pop, Latin","Reggaeton, Latin Pop","100","-4709","1975719"
"sped up songs","Editorial","Spotify","Pop, Electronic","Mainstream Pop, k-pop","100","-3639","1944691"
"Latin Pop Today","Editorial","Spotify","Latin, Pop","Reggaeton, Latin Pop","50","-2348","1944517"
"Indie's Top 50","Charts","Spotify","Pop, Rock, R&B","Indie Pop","50","-3043","1928048"
"homework vibes","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","143","5759","1908241"
"Good Mood","Editorial","Spotify","Pop, Electronic","Mainstream Pop, Dance, Indie Pop","90","-2505","1904163"
"Summer Hits 2025","Editorial","Spotify","Pop, Electronic","Mainstream Pop","75","-1975","1902220"
"Amor Amor","Editorial","Spotify","Pop, Latin","Reggaeton, Latin Pop","50","-2797","1899429"
"Workout Motivation 2026 💪","Indie Curator","Workout Music","Electronic, Pop","Dance, House","218","13701","1890897"
"Salsa Nation","Editorial","Spotify","Latin, Pop","Salsa, Latin Pop","100","-279","1882152"
"Happy Folk","Editorial","Spotify","Pop, Rock","Indie Pop, Folk Rock","100","-1254","1880585"
"All Out 50s","Editorial","Spotify","Pop, Jazz, Rock","Mainstream Pop","150","2705","1868894"
"This Is Stray Kids","This Is ...","Spotify","Pop","k-pop","256","21015","1857901"
"Fun Run","Editorial","Spotify","Pop","Mainstream Pop","50","-222","1857733"
"Great Female Voices","Editorial","Spotify","R&B, Pop, Jazz","Mainstream Pop, Contemporary R&B","50","3698","1829098"
"OPM Says Chillax","Editorial","Spotify","Pop, R&B, Rock","Indie Pop, OPM","40","-1559","1828925"
"¡Baila Sin Parar!","Editorial","Spotify","Latin, Pop","Reggaeton, Latin Pop","100","-1977","1823523"
"Piano Ballads","Editorial","Spotify","Pop, R&B, Rock","Mainstream Pop, Indie Pop","75","-2263","1821209"
"Instrumental Study","Editorial","Spotify","Classical, Pop, Electronic","Classical Crossover, Downtempo","194","-1877","1819179"
"Sólo Pop","Editorial","Spotify","Latin, Pop","Latin Pop, Regional Mexican Music","75","5003","1818960"
"Acústicas","Editorial","Spotify","Pop, Latin","Latin Pop","100","-6534","1807280"
"Chill Pop","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","908","1801959"
"This Is ABBA","This Is ...","Spotify","Pop","Mainstream Pop","60","5313","1793562"
"Soft 90s","Editorial","Spotify","Pop, Rock, R&B","Mainstream Pop","150","26367","1793207"
"All Out 00s Hindi","Editorial","Spotify","Pop, Asian","Indian Pop, Islamic Music","100","30775","1789092"
"Viral 50 - Global","Charts","Spotify","Pop, Rock","Indie Pop","50","1440","1787589"
"Bollywood Mush","Editorial","Spotify","Pop","Indian Pop, Indian Folk","75","22656","1787365"
"I Love My '10s R&B","Editorial","Spotify","R&B, Hip Hop, Pop","Mainstream Pop, Contemporary R&B","100","4087","1781144"
"This Is Shawn Mendes","This Is ...","Spotify","Pop","Mainstream Pop","50","-342","1774242"
"This Is Shakira","This Is ...","Spotify","Pop","Mainstream Pop, Latin Pop","50","7417","1773704"
