"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"Rock Classics","Editorial","Spotify","Rock, Metal","Heavy Metal, Psychedelic Rock, Progressive Rock","200","304889","13028140"
"All Out 2000s","Editorial","Spotify","Pop, Hip Hop, Rock","Mainstream Pop, Contemporary Hip Hop","150","116835","12862750"
"All Out 90s","Editorial","Spotify","Rock, Pop","Mainstream Pop, Alternative Rock","150","17465","8670492"
"90s Rock Anthems","Editorial","Spotify","Rock","Alternative Rock","100","7512","6758959"
"Classic Road Trip Songs","Editorial","Spotify","Rock","Hard Rock, Pop Rock","100","14935","6756457"
"00s Rock Anthems","Editorial","Spotify","Rock, Punk","Alternative Rock","100","2180","6206341"
"All Out 70s","Editorial","Spotify","Rock, Pop","Mainstream Pop, Hard Rock, Pop Rock","150","6265","5865238"
"Have a Great Day!","Editorial","Spotify","Rock, Pop","Mainstream Pop, Pop Rock","80","-1784","5259892"
"This Is Queen","This Is ...","Spotify","Rock","Hard Rock, Pop Rock","50","3628","4973319"
"my life is a movie","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","100","34702","4872907"
"Rock en Español","Editorial","Spotify","Rock","Folk Rock, Pop Rock","100","2134","4262713"
"MARROW","Editorial","Spotify","Rock","Alternative Rock, Indie Rock","75","-9508","4259626"
"Legendary","Editorial","Spotify","Rock","Hard Rock, Pop Rock","70","2199","4247156"
"This Is Coldplay","This Is ...","Spotify","Rock, Pop, African","Mainstream Pop, Pop Rock","57","2093","4185916"
"80s Rock Anthems","Editorial","Spotify","Rock","Alternative Rock, Hard Rock, Pop Rock","80","4777","4081182"
"This Is The Beatles","This Is ...","Spotify","Rock","Hard Rock, Pop Rock","50","-1127","4052860"
"Your Favorite Coffeehouse","Editorial","Spotify","Pop, Rock","Indie Pop, Folk Rock","146","-2888","4046038"
"Acoustic Hits: Oldies but Goodies","Editorial","Spotify","Rock, Pop","Mainstream Pop, Pop Rock","50","-4381","3883640"
"90s Love Songs","Editorial","Spotify","Pop, R&B, Rock","Mainstream Pop, Contemporary R&B","75","6699","3698302"
"Soft Rock","Editorial","Spotify","Rock, Pop","Pop Rock","125","-2305","3576057"
"Relax & Unwind","Editorial","Spotify","Pop, Rock, Country","Indie Pop","150","-9281","3540457"
"80s Hits","Editorial","Spotify","Rock, Pop, R&B","Mainstream Pop, Pop Rock","100","-2116","3537265"
"Guilty Pleasures","Editorial","Spotify","Pop, Rock","Mainstream Pop","150","561","3392025"
"70s Road Trip","Editorial","Spotify","Rock","Hard Rock, Pop Rock","100","7829","3351699"
"Stranger Things Official Playlist","Editorial","Spotify","Rock, R&B","N/A","189","14523","3297314"
"All Out 60s","Editorial","Spotify","Rock, R&B, Pop","Mainstream Pop, Soul","150","564","3194692"
"70s Rock Anthems","Editorial","Spotify","Rock","Hard Rock, Pop Rock","100","844","3140364"
"Pure Pop Punk","Editorial","Spotify","Punk, Rock","Alternative Rock, Punk Rock, Pop Punk","100","-125","3000779"
"This Is Imagine Dragons","This Is ...","Spotify","Rock","Mainstream Pop, Pop Rock","45","0","2816995"
"Rock Party","Editorial","Spotify","Rock","Hard Rock, Glam Metal","100","3517","2761584"
"Classic Acoustic","Editorial","Spotify","Rock, Country","Folk Rock","100","-265","2644635"
"80s Love Songs","Editorial","Spotify","Rock, Pop","Mainstream Pop, Pop Rock","75","3100","2603360"
"Heavy Workout","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore, Alternative Metal","100","1734","2502729"
"Chill Acoustic Covers","Editorial","Spotify","Pop, Rock","Mainstream Pop, Indie Pop","100","3558","2445892"
"90s Acoustic","Editorial","Spotify","Rock, Pop","Mainstream Pop, Alternative Rock","75","1561","2441683"
"Timeless Love Songs","Editorial","Spotify","Pop, R&B, Rock","Mainstream Pop","100","5680","2421851"
"Chill Vibes","Editorial","Spotify","Pop, R&B, Rock","Indie Pop","150","-2469","2409877"
"Guardians of the Galaxy: The Official Mixtape","Editorial","Spotify","Classical, Rock","Alternative Rock, Classical Crossover","96","-1911","2386282"
"80s Hard Rock","Editorial","Spotify","Rock, Metal","Hard Rock, Glam Metal","100","4226","2332394"
"Feel-Good Indie Rock","Editorial","Spotify","Rock, Pop","Indie Pop, Indie Rock","150","-192","2308868"
"Walk Like A Badass","Editorial","Spotify","Rock, Punk","Alternative Rock, Indie Rock","75","-480","2286843"
"The Most Beautiful Songs in the World","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","80","-3021","2282421"
"Nu Metal Era","Editorial","Spotify","Metal, Rock","Alternative Metal, Nu Metal","80","22518","2229190"
"This Is AC/DC","This Is ...","Spotify","Rock","Alternative Rock, Hard Rock","50","5540","2227227"
"Love Ballads","Editorial","Spotify","Pop, Rock, R&B","Mainstream Pop, Pop Rock","100","3174","2181759"
"This Is Red Hot Chili Peppers","This Is ...","Spotify","Rock","Alternative Rock, Funk Rock","50","6732","2153599"
"Acoustic Chill","Editorial","Spotify","Pop, Rock","Indie Pop","125","-4582","2151162"
