Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Vive Latino,2026,March,3,Mar 14-15 2026,Aleman,MEX,542,108,Hip Hop,82,Contemporary Hip Hop,0
Vive Latino,2026,March,3,Mar 14-15 2026,Juanes,COL,548,219,Pop,57,Latin Pop,3
Vive Latino,2026,March,3,Mar 14-15 2026,Trueno,ARG,559,110,Hip Hop,83,Contemporary Hip Hop,7
Vive Latino,2026,March,3,Mar 14-15 2026,Gera MX,MEX,682,123,Hip Hop,89,Contemporary Hip Hop,0
Vive Latino,2026,March,3,Mar 14-15 2026,Ke Personajes,ARG,910,164,Latin,9,Cumbia,1
Vive Latino,2026,March,3,Mar 14-15 2026,Dread Mar I,ARG,923,7,Reggae,4,Roots Reggae,0
Vive Latino,2026,March,3,Mar 14-15 2026,Lenny Kravitz,USA,934,86,Rock,52,Alternative Rock,7
Vive Latino,2026,March,3,Mar 14-15 2026,Steve Aoki,USA,1025,33,Electronic,38,Dance,19
Vive Latino,2026,March,3,Mar 14-15 2026,The Smashing Pumpkins,USA,1048,98,Rock,55,Alternative Rock,5
Vive Latino,2026,March,3,Mar 14-15 2026,Los Enanitos Verdes,ARG,1164,111,Rock,78,Pop Rock,2
Vive Latino,2025,March,3,Mar 15-16 2025,Mon Laferte,CHL,205,95,Pop,22,Latin Pop,7
Vive Latino,2025,March,3,Mar 15-16 2025,Los Angeles Azules,MEX,326,68,Latin,2,Cumbia,0
Vive Latino,2025,March,3,Mar 15-16 2025,Eden Munoz,MEX,428,80,Latin,23,Regional Mexican Music,0
Vive Latino,2025,March,3,Mar 15-16 2025,Scorpions,DEU,436,32,Rock,13,Hard Rock,10
Vive Latino,2025,March,3,Mar 15-16 2025,Kany Garcia,PRI,643,246,Pop,68,Latin Pop,0
Vive Latino,2025,March,3,Mar 15-16 2025,Zoe,MEX,709,62,Rock,44,Pop Rock,4
Vive Latino,2025,March,3,Mar 15-16 2025,Yuridia,MEX,721,276,Pop,70,Latin Pop,0
Vive Latino,2025,March,3,Mar 15-16 2025,Belinda,MEX,952,366,Pop,94,Latin Pop,0
Vive Latino,2025,March,3,Mar 15-16 2025,Keane,GBR,956,90,Rock,54,Alternative Rock,0
Vive Latino,2025,March,3,Mar 15-16 2025,Rufus Du Sol,AUS,1118,39,Electronic,44,Dance,9
Vive Latino,2024,March,3,Mar 16-17 2024,Junior H,MEX,112,22,Latin,4,Regional Mexican Music,1
Vive Latino,2024,March,3,Mar 16-17 2024,Mana,MEX,223,17,Rock,11,Pop Rock,2
Vive Latino,2024,March,3,Mar 16-17 2024,Cartel De Santa,MEX,238,37,Hip Hop,34,Contemporary Hip Hop,0
Vive Latino,2024,March,3,Mar 16-17 2024,Paramore,USA,406,29,Rock,19,Alternative Rock,0
Vive Latino,2024,March,3,Mar 16-17 2024,Scorpions,DEU,436,32,Rock,13,Hard Rock,10
Vive Latino,2024,March,3,Mar 16-17 2024,C-Kan,MEX,742,132,Hip Hop,95,Contemporary Hip Hop,1
Vive Latino,2024,March,3,Mar 16-17 2024,Kings of Leon,USA,749,65,Rock,10,Indie Rock,12
Vive Latino,2024,March,3,Mar 16-17 2024,La Adictiva,MEX,757,139,Latin,33,Regional Mexican Music,0
Vive Latino,2024,March,3,Mar 16-17 2024,Kevin Kaarl,MEX,929,358,Pop,54,Indie Pop,1
Vive Latino,2024,March,3,Mar 16-17 2024,Rawayana,USA,1016,9,Reggae,5,Roots Reggae,1
Vive Latino,2023,March,3,Mar 18-19 2023,Red Hot Chili Peppers,USA,123,10,Rock,1,Funk Rock,0
Vive Latino,2023,March,3,Mar 18-19 2023,Carin Leon,MEX,148,27,Latin,6,Regional Mexican Music,2
Vive Latino,2023,March,3,Mar 18-19 2023,Duki,ARG,389,69,Hip Hop,32,Trap,5
Vive Latino,2023,March,3,Mar 18-19 2023,Aleman,MEX,542,108,Hip Hop,82,Contemporary Hip Hop,1
Vive Latino,2023,March,3,Mar 18-19 2023,Carla Morrison,MEX,891,345,Pop,85,Latin Pop,0
Vive Latino,2023,March,3,Mar 18-19 2023,MC Davo,MEX,1202,201,Hip Hop,143,Contemporary Hip Hop,2
Vive Latino,2023,March,3,Mar 18-19 2023,Miranda!,ARG,1333,491,Pop,126,Latin Pop,0
Vive Latino,2023,March,3,Mar 18-19 2023,UB40,GBR,1591,17,Reggae,9,Reggae Fusion,14
Vive Latino,2023,March,3,Mar 18-19 2023,Cafe Tacvba,MEX,1671,149,Rock,68,Alternative Rock,0
Vive Latino,2023,March,3,Mar 18-19 2023,Pesado,MEX,1709,307,Latin,82,Regional Mexican Music,0
Vive Latino,2022,March,3,Mar 19-20 2022,Banda MS de Sergio Lizarraga,MEX,273,57,Latin,17,Regional Mexican Music,0
Vive Latino,2022,March,3,Mar 19-20 2022,Santa Fe Klan,MEX,360,60,Hip Hop,48,Contemporary Hip Hop,1
Vive Latino,2022,March,3,Mar 19-20 2022,Limp Bizkit,USA,517,10,Metal,7,Alternative Metal,2
Vive Latino,2022,March,3,Mar 19-20 2022,Trueno,ARG,559,110,Hip Hop,83,Contemporary Hip Hop,8
Vive Latino,2022,March,3,Mar 19-20 2022,The Marias,USA,583,232,Pop,31,Indie Pop,4
